Chapter/Question,Verse,Text
4,10," He who knows that indestructible being, obtains (what is) the highest and indestructible, he without a shadow, without a body, without colour, bright, yes, O friend, he who knows it, becomes all-knowing, becomes all. On this there is this Sloka:"
4,11," He, O friend, who knows that indestructible being wherein the true knower, the vital spirits (pranas), together with all the powers (deva), and the elements rest, he, being all-knowing, has penetrated all.' "
5,1," Then Saivya Satyakama asked him: `Sir, if some one among men should meditate here until death on the syllable Om, what would he obtain by it?'"
5,2," He replied: `O Satyakama, the syllable Om (AUM) is the highest and also the other Brahman; therefore he who knows it arrives by the same means at one of the two."
5,3," If he meditate on one Matra (the A), then, being enlightened by that only, he arrives quickly at the earth. The Rik-verses lead him to the world of men, and being endowed there with penance, abstinence, and faith, he enjoys greatness."
5,4," If he meditate with two Matras (A+U) he arrives at the Manas, and is led up by the Yagus-verses to the sky, to the Soma-world. Having enjoyed greatness in the Soma-world, he returns again."
5,5," Again, he who meditates with this syllable AUM of three Matras, on the Highest Person, he comes to light and to the sun. And as a snake is freed from its skin, so is he freed from evil. He is led up by the Saman-verses to the Brahma-world; and from him, full of life (Hiranyagarbha, the lord of the Satya-loka), he learns to see the all-pervading, the Highest Person. And there are these two Slokas:"
5,6," The three Matris (A+U+M), if employed separate, and only joined one to another, are mortal; but in acts, external, internal, or intermediate, if well performed, the sage trembles not."
5,7," Through the Rik-verses he arrives at this world, through the Yagus-verses at the sky, through the Saman-verses at that which the poets teach, he arrives at this by means of the Onkara; the wise arrives at that which is at rest, free from decay, from death, from fear, the Highest.' "
6,1," Then Sukesas Bharadvaga asked him, saying: `Sir, Hiranyanabha, the prince of Kosala, came to me and asked this question: Do you know the person of sixteen parts, O Bharadvaga? I said to the prince: I do not know him; if I knew him, how should I not tell you? Surely, he who speaks what is untrue withers away to the very root; therefore I will not say what is untrue. Then he mounted his chariot and went away silently. Now I ask you, where is that person?'"
6,2," He replied: `Friend, that person is here within the body, he in whom these sixteen parts arise."
6,3," He reflected: What is it by whose departure I shall depart, and by whose staying I shall stay?"
6,4," He sent forth (created) Prana (spirit); from Prana Sraddha (faith), ether, air, light, water, earth, sense, mind, food; from food came vigour, penance, hymns, sacrifice, the worlds, and in the worlds the name also."
6,5," As these flowing rivers that go towards the ocean, when they have reached the ocean, sink into it, their name and form are broken, and people speak of the ocean only, exactly thus these sixteen parts of the spectator that go towards the person (purusha), when they have reached the person, sink into him, their name and form are broken, and people speak of the person only, and he becomes without parts and immortal. On this there is this verse:"
6,6," That person who is to be known, he in whom these parts rest, like spokes in the nave of a wheel, you know him, lest death should hurt you.'"
6,7," Then he (Pippalada) said to them: `So far do I know this Highest Brahman, there is nothing higher than it.'"
