Section/Khanda,VerseRange,Text
2,3-5," `He by whom it (Brahman) is not thought, by him it is thought; he by whom it is thought, knows it not. It is not understood by those who understand it, it is understood by those who do not understand it.  `It is thought to be known (as if) by awakening, and (then) we obtain immortality indeed. By the Self we obtain strength, by knowledge we obtain immortality.  `If a man know this here, that is the true (end of life);"
2,4-5," `It is thought to be known (as if) by awakening, and (then) we obtain immortality indeed. By the Self we obtain strength, by knowledge we obtain immortality.  `If a man know this here, that is the true (end of life); if he does not know this here, then there is great destruction (new births). The wise who have thought on all things (and recognised the Self in them) become immortal, when they have departed from this world.'"
3,1-3," Brahman obtained the victory for the Devas. The Devas became elated by the victory of Brahman, and they thought, this victory is ours only, this greatness is ours only.  Brahman perceived this and appeared to them. But they did not know it, and said: `What sprite (yaksha or yakshya) is this?'  They said to Agni (fire): `O Gatavedas, find out what"
3,2-4," Brahman perceived this and appeared to them. But they did not know it, and said: `What sprite (yaksha or yakshya) is this?'  They said to Agni (fire): `O Gatavedas, find out what sprite this is.' `Yes,' he said.  He ran toward it, and Brahman said to him: `Who are"
3,3-5," They said to Agni (fire): `O Gatavedas, find out what sprite this is.' `Yes,' he said.  He ran toward it, and Brahman said to him: `Who are you?' He replied: `I am Agni, I am Gatavedas.'  Brahman said: `What power is in you?' Agni replied:"
3,4-6," He ran toward it, and Brahman said to him: `Who are you?' He replied: `I am Agni, I am Gatavedas.'  Brahman said: `What power is in you?' Agni replied: `I could burn all whatever there is on earth.'  Brahman put a straw before him, saying: `Burn this.'"
3,5-7," Brahman said: `What power is in you?' Agni replied: `I could burn all whatever there is on earth.'  Brahman put a straw before him, saying: `Burn this.' He went towards it with all his might, but he could not burn it. Then he returned thence and said: `I could not find out what sprite this is.'  Then they said to Vayu (air): `O Vayu, find out what"
3,6-8," Brahman put a straw before him, saying: `Burn this.' He went towards it with all his might, but he could not burn it. Then he returned thence and said: `I could not find out what sprite this is.'  Then they said to Vayu (air): `O Vayu, find out what sprite this is.' `Yes,' he said.  He ran toward it, and Brahman said to him: `Who are"
3,7-9," Then they said to Vayu (air): `O Vayu, find out what sprite this is.' `Yes,' he said.  He ran toward it, and Brahman said to him: `Who are you?' He replied: `I am Vayu, I am Matarisvan.'  Brahman said: `What power is in you?' Vayu"
3,8-10," He ran toward it, and Brahman said to him: `Who are you?' He replied: `I am Vayu, I am Matarisvan.'  Brahman said: `What power is in you?' Vayu replied: `I could take up all whatever there is on earth.'  Brahman put a straw before him, saying: `Take it"
3,9-11," Brahman said: `What power is in you?' Vayu replied: `I could take up all whatever there is on earth.'  Brahman put a straw before him, saying: `Take it up.' He went towards it with all his might, but he could not take it up. Then he returned thence and said: `I could not find out what sprite this is.'  Then they said to Indra: `O Maghavan, find out"
3,10-12," Brahman put a straw before him, saying: `Take it up.' He went towards it with all his might, but he could not take it up. Then he returned thence and said: `I could not find out what sprite this is.'  Then they said to Indra: `O Maghavan, find out what sprite this is.' He went towards it, but it disappeared from before him.  Then in the same space (ether) he came towards a"
3,11-12," Then they said to Indra: `O Maghavan, find out what sprite this is.' He went towards it, but it disappeared from before him.  Then in the same space (ether) he came towards a woman, highly adorned: it was Uma, the daughter of Himavat. He said to her: `Who is that sprite?'"
4,1-3," She replied: `It is Brahman. It is through the victory of Brahman that you have thus become great.' After that he knew that it was Brahman.  Therefore these Devas, viz. Agni, Vayu, and Indra, are, as it were, above the other gods, for they touched it (the Brahman) nearest.  And therefore Indra is, as it were, above the other"
4,2-4," Therefore these Devas, viz. Agni, Vayu, and Indra, are, as it were, above the other gods, for they touched it (the Brahman) nearest.  And therefore Indra is, as it were, above the other gods, for he touched it nearest, he first knew it.  This is the teaching of Brahman, with regard to the"
4,3-5," And therefore Indra is, as it were, above the other gods, for he touched it nearest, he first knew it.  This is the teaching of Brahman, with regard to the gods (mythological): It is that which now flashes forth in the lightning, and now vanishes again.  And this is the teaching of Brahman, with regard to"
4,4-6," This is the teaching of Brahman, with regard to the gods (mythological): It is that which now flashes forth in the lightning, and now vanishes again.  And this is the teaching of Brahman, with regard to the body (psychological): It is that which seems to move as mind, and by it imagination remembers again and again.  That Brahman is called Tadvana, by the name of"
4,5-7," And this is the teaching of Brahman, with regard to the body (psychological): It is that which seems to move as mind, and by it imagination remembers again and again.  That Brahman is called Tadvana, by the name of Tadvana it is to be meditated on. All beings have a desire for him who knows this.  The Teacher: `As you have asked me to tell you the"
4,6-8," That Brahman is called Tadvana, by the name of Tadvana it is to be meditated on. All beings have a desire for him who knows this.  The Teacher: `As you have asked me to tell you the Upanishad, the Upanishad has now been told you. We have told you the Brahmi Upanishad.  `The feet on which that Upanishad stands are"
4,7-9," The Teacher: `As you have asked me to tell you the Upanishad, the Upanishad has now been told you. We have told you the Brahmi Upanishad.  `The feet on which that Upanishad stands are penance, restraint, sacrifice; the Vedas are all its limbs, the True is its abode.  `He who knows this Upanishad, and has shaken off"
