Chapter,Section,VerseRange,Text
1,3,4-6,"Then they said to the eye: `Do thou sing out for us.' `Yes,' said the eye, and sang. Whatever delight there is in the eye, that he obtained for the Devas by singing; but that he saw well, that was for himself. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at the singer, and pierced him with evil. That evil which consists in seeing what is bad, that is that evil. Then they said to the ear: `Do thou sing out for us.' `Yes,' said the ear, and sang. Whatever delight there is in the ear, that he obtained for the Devas by singing; but that he heard well, that was for himself. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at the singer, and pierced him with evil. That evil which consists in hearing what is bad, that is that evil. Then they said to the mind: `Do thou sing out for"
1,3,5-7,"Then they said to the ear: `Do thou sing out for us.' `Yes,' said the ear, and sang. Whatever delight there is in the ear, that he obtained for the Devas by singing; but that he heard well, that was for himself. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at the singer, and pierced him with evil. That evil which consists in hearing what is bad, that is that evil. Then they said to the mind: `Do thou sing out for us.' `Yes,' said the mind, and sang. Whatever delight there is in the mind, that he obtained for the Devas by singing; but that he thought well, that was for himself. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at the singer, and pierced him with evil. That evil which consists in thinking what is bad, that is that evil. Thus they overwhelmed these deities with evils, thus they pierced them with evil. Then they said to the breath in the mouth: `Do"
1,3,6-8,"Then they said to the mind: `Do thou sing out for us.' `Yes,' said the mind, and sang. Whatever delight there is in the mind, that he obtained for the Devas by singing; but that he thought well, that was for himself. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at the singer, and pierced him with evil. That evil which consists in thinking what is bad, that is that evil. Thus they overwhelmed these deities with evils, thus they pierced them with evil. Then they said to the breath in the mouth: `Do thou sing for us.' `Yes,' said the breath, and sang. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at him and pierced him with evil. Now as a ball of earth will be scattered when hitting a stone, thus they perished, scattered in all directions. Hence the Devas rose, the Asuras fell. He who knows this, rises by his self, and the enemy who hates him falls. Then they (the Devas) said: `Where was he then"
1,3,7-9,"Then they said to the breath in the mouth: `Do thou sing for us.' `Yes,' said the breath, and sang. The Asuras knew: `Verily, through this singer they will overcome us.' They therefore rushed at him and pierced him with evil. Now as a ball of earth will be scattered when hitting a stone, thus they perished, scattered in all directions. Hence the Devas rose, the Asuras fell. He who knows this, rises by his self, and the enemy who hates him falls. Then they (the Devas) said: `Where was he then who thus stuck to us?' It was (the breath) within the mouth (asye 'ntar), and therefore called Ayasya; he was the sap (rasa) of the limbs (anga), and therefore called Angirasa. That deity was called Dur, because Death was far"
1,3,8-10,"Then they (the Devas) said: `Where was he then who thus stuck to us?' It was (the breath) within the mouth (asye 'ntar), and therefore called Ayasya; he was the sap (rasa) of the limbs (anga), and therefore called Angirasa. That deity was called Dur, because Death was far (duran) from it. From him who knows this, Death is far off. That deity, after having taken away the evil of"
1,3,9-11,"That deity was called Dur, because Death was far (duran) from it. From him who knows this, Death is far off. That deity, after having taken away the evil of those deities, viz. death, sent it to where the end of the quarters of the earth is. There he deposited their sins. Therefore let no one go to a man, let no one go to the end (of the quarters of the earth), that he may not meet there with evil, with death. That deity, after having taken away the evil of"
1,3,10-12,"That deity, after having taken away the evil of those deities, viz. death, sent it to where the end of the quarters of the earth is. There he deposited their sins. Therefore let no one go to a man, let no one go to the end (of the quarters of the earth), that he may not meet there with evil, with death. That deity, after having taken away the evil of those deities, viz. death, carried them beyond death. He carried speech across first. When speech"
1,3,11-13,"That deity, after having taken away the evil of those deities, viz. death, carried them beyond death. He carried speech across first. When speech had become freed from death, it became (what it had been before) Agni (fire). That Agni, after having stepped beyond death, shines. Then he carried breath (scent) across. When"
1,3,12-14,"He carried speech across first. When speech had become freed from death, it became (what it had been before) Agni (fire). That Agni, after having stepped beyond death, shines. Then he carried breath (scent) across. When breath had become freed from death, it became Vayu (air). That Vayu, after having stepped beyond death, blows. Then he carried the eye across. When the eye"
1,3,13-15,"Then he carried breath (scent) across. When breath had become freed from death, it became Vayu (air). That Vayu, after having stepped beyond death, blows. Then he carried the eye across. When the eye had become freed from death, it became Aditya (the sun). That Aditya, after having stepped beyond death, burns. Then he carried the ear across. When the ear"
1,3,14-16,"Then he carried the eye across. When the eye had become freed from death, it became Aditya (the sun). That Aditya, after having stepped beyond death, burns. Then he carried the ear across. When the ear had become freed from death, it became the quarters (space). These are our quarters (space), which have stepped beyond death. Then he carried the mind across. When the mind"
1,3,15-17,"Then he carried the ear across. When the ear had become freed from death, it became the quarters (space). These are our quarters (space), which have stepped beyond death. Then he carried the mind across. When the mind had become freed from death, it became the moon (Kandramas). That moon, after having stepped beyond death, shines. Thus does that deity carry him, who knows this, across death. Then breath (vital), by singing, obtained for"
1,3,16-18,"Then he carried the mind across. When the mind had become freed from death, it became the moon (Kandramas). That moon, after having stepped beyond death, shines. Thus does that deity carry him, who knows this, across death. Then breath (vital), by singing, obtained for himself eatable food. For whatever food is eaten, is eaten by breath alone, and in it breath rests. The Devas said: `Verily, thus far, whatever food there is, thou hast by singing acquired it for thyself. Now therefore give us a share in that food.' He said: `You there, enter into me.' They said Yes, and entered all into him. Therefore whatever food is eaten by breath, by it the other senses are satisfied. If a man knows this, then his own relations come"
1,3,17-19,"Then breath (vital), by singing, obtained for himself eatable food. For whatever food is eaten, is eaten by breath alone, and in it breath rests. The Devas said: `Verily, thus far, whatever food there is, thou hast by singing acquired it for thyself. Now therefore give us a share in that food.' He said: `You there, enter into me.' They said Yes, and entered all into him. Therefore whatever food is eaten by breath, by it the other senses are satisfied. If a man knows this, then his own relations come to him in the same manner; he becomes their supporter, their chief leader, their strong ruler. And if ever any one tries to oppose one who is possessed of such knowledge among his own relatives, then he will not be able to support his own belongings. But he who follows the man who is possessed of such knowledge, and who with his permission wishes to support those whom he has to support, he indeed will be able to support his own belongings. He was called Ayasya Angirasa, for he is the sap"
1,3,18-20,"If a man knows this, then his own relations come to him in the same manner; he becomes their supporter, their chief leader, their strong ruler. And if ever any one tries to oppose one who is possessed of such knowledge among his own relatives, then he will not be able to support his own belongings. But he who follows the man who is possessed of such knowledge, and who with his permission wishes to support those whom he has to support, he indeed will be able to support his own belongings. He was called Ayasya Angirasa, for he is the sap (rasa) of the limbs (anga). Verily, breath is the sap of the limbs. Yes, breath is the sap of the limbs. Therefore from whatever limb breath goes away, that limb withers, for breath verily is the sap of the limbs. He (breath) is also Brihaspati, for speech is"
1,3,19-22,"He was called Ayasya Angirasa, for he is the sap (rasa) of the limbs (anga). Verily, breath is the sap of the limbs. Yes, breath is the sap of the limbs. Therefore from whatever limb breath goes away, that limb withers, for breath verily is the sap of the limbs. He (breath) is also Brihaspati, for speech is Brihati (Rig-veda), and he is her lord; therefore he is Brihaspati. Brahman (Yagur-veda), and he is her lord; He (breath) is also Saman (the Udgitha), for speech is Saman (Sama-veda), and that is both speech (sa) and breath (ama). This is why Saman is called Saman. Or because he is equal (sama) to a grub, equal"
1,3,21-23,"He (breath) is also Brihaspati, for speech is Brihati (Rig-veda), and he is her lord; therefore he is Brihaspati. Brahman (Yagur-veda), and he is her lord; He (breath) is also Saman (the Udgitha), for speech is Saman (Sama-veda), and that is both speech (sa) and breath (ama). This is why Saman is called Saman. Or because he is equal (sama) to a grub, equal to a gnat, equal to an elephant, equal to these three worlds, nay, equal to this universe, therefore he is Saman. He who thus knows this Saman, obtains union and oneness with Saman. He (breath) is Udgitha. Breath verily is Ut, for by"
1,3,22-24,"Or because he is equal (sama) to a grub, equal to a gnat, equal to an elephant, equal to these three worlds, nay, equal to this universe, therefore he is Saman. He who thus knows this Saman, obtains union and oneness with Saman. He (breath) is Udgitha. Breath verily is Ut, for by breath this universe is upheld (uttabdha); and speech is Githa, song. And because he is ut and githa, therefore he (breath) is Udgitha. And thus Brahmadatta Kaikitaneya (the grandson"
1,3,23-25,"He (breath) is Udgitha. Breath verily is Ut, for by breath this universe is upheld (uttabdha); and speech is Githa, song. And because he is ut and githa, therefore he (breath) is Udgitha. And thus Brahmadatta Kaikitaneya (the grandson of Kikitana), while taking Soma (ragan), said: `May this Soma strike my head off, if Ayasya Angirasa sang another Udgitha than this. He sang it indeed as speech and breath.' He who knows what is the property of this"
1,3,24-26,"And thus Brahmadatta Kaikitaneya (the grandson of Kikitana), while taking Soma (ragan), said: `May this Soma strike my head off, if Ayasya Angirasa sang another Udgitha than this. He sang it indeed as speech and breath.' He who knows what is the property of this Saman, obtains property. Now verily its property is tone only. Therefore let a priest, who is going to perform the sacrificial work of a Sama-singer, desire that his voice may have a good tone, and let him perform the sacrifice with a voice that is in good tone. Therefore people (who want a priest) for a sacrifice, look out for one who possesses a good voice, as for one who possesses property. He who thus knows what is the property of that Saman, obtains property. He who knows what is the gold of that Saman,"
1,3,25-27,"He who knows what is the property of this Saman, obtains property. Now verily its property is tone only. Therefore let a priest, who is going to perform the sacrificial work of a Sama-singer, desire that his voice may have a good tone, and let him perform the sacrifice with a voice that is in good tone. Therefore people (who want a priest) for a sacrifice, look out for one who possesses a good voice, as for one who possesses property. He who thus knows what is the property of that Saman, obtains property. He who knows what is the gold of that Saman, obtains gold. Now verily its gold is tone only. He who thus knows what is the gold of that Saman, obtains gold. He who knows what is the support of that Saman,"
1,3,26-28,"He who knows what is the gold of that Saman, obtains gold. Now verily its gold is tone only. He who thus knows what is the gold of that Saman, obtains gold. He who knows what is the support of that Saman, he is supported. Now verily its support is speech only. For, as supported in speech, that breath is sung as that Saman. Some say the support is in food. Next follows the Abhyaroha (the ascension) of the Pavamana verses. Verily the Prastotri begins to sing the Saman, and when he begins, then let him (the sacrificer) recite these (three Yagus-verses): `Lead me from the unreal to the real! Lead me from darkness to light! Lead me from death to immortality!' Now when he says, `Lead me from the unreal to the real,' the unreal is verily death, the real immortality. He therefore says, `Lead me from death to immortality, make me immortal.' When he says, `Lead me from darkness to light,' darkness is verily death, light immortality. He therefore says, `Lead me from death to immortality, make me immortal.' When he says, `Lead me from death to immortality,' there is nothing there, as it were, hidden (obscure, requiring explanation). Next come the other Stotras with which the priest"
1,3,27-28,"He who knows what is the support of that Saman, he is supported. Now verily its support is speech only. For, as supported in speech, that breath is sung as that Saman. Some say the support is in food. Next follows the Abhyaroha (the ascension) of the Pavamana verses. Verily the Prastotri begins to sing the Saman, and when he begins, then let him (the sacrificer) recite these (three Yagus-verses): `Lead me from the unreal to the real! Lead me from darkness to light! Lead me from death to immortality!' Now when he says, `Lead me from the unreal to the real,' the unreal is verily death, the real immortality. He therefore says, `Lead me from death to immortality, make me immortal.' When he says, `Lead me from darkness to light,' darkness is verily death, light immortality. He therefore says, `Lead me from death to immortality, make me immortal.' When he says, `Lead me from death to immortality,' there is nothing there, as it were, hidden (obscure, requiring explanation). Next come the other Stotras with which the priest may obtain food for himself by singing them. Therefore let the sacrificer, while these Stotras are being sung, ask for a boon, whatever desire he may desire. An Udgatri priest who knows this obtains by his singing whatever desire he may desire either for himself or for the sacrificer. This (knowledge) indeed is called the conqueror of the worlds. He who thus knows this Saman, for him there is no fear of his not being admitted to the worlds."
1,4,1-3,"In the beginning this was Self alone, in the shape of a person (purusha). He looking round saw nothing but his Self. He first said, `This is I;' therefore he became I by name. Therefore even now, if a man is asked, he first says, `This is I,' and then pronounces the other name which he may have. And because before (purva) all this, he (the Self) burnt down (ush) all evils, therefore he was a person (purusha). Verily he who knows this, burns down every one who tries to be before him. He feared, and therefore any one who is lonely fears. He thought, `As there is nothing but myself, why should I fear?' Thence his fear passed away. For what should he have feared? Verily fear arises from a second only. But he felt no delight. Therefore a man who is"
1,4,2-4,"He feared, and therefore any one who is lonely fears. He thought, `As there is nothing but myself, why should I fear?' Thence his fear passed away. For what should he have feared? Verily fear arises from a second only. But he felt no delight. Therefore a man who is lonely feels no delight. He wished for a second. He was so large as man and wife together. He then made this his Self to fall in two (pat), and thence arose husband (pati) and wife (patni). Therefore Yagnavalkya said: `We two are thus (each of us) like half a shell.' Therefore the void which was there, is filled by the wife. He embraced her, and men were born. She thought, `How can he embrace me, after"
1,4,3-5,"But he felt no delight. Therefore a man who is lonely feels no delight. He wished for a second. He was so large as man and wife together. He then made this his Self to fall in two (pat), and thence arose husband (pati) and wife (patni). Therefore Yagnavalkya said: `We two are thus (each of us) like half a shell.' Therefore the void which was there, is filled by the wife. He embraced her, and men were born. She thought, `How can he embrace me, after having produced me from himself? I shall hide myself.' She then became a cow, the other became a bull and embraced her, and hence cows were born. The one became a mare, the other a stallion; the one a male ass, the other a female ass. He embraced her, and hence one-hoofed animals were born. The one became a she-goat, the other a he-goat; the one became a ewe, the other a ram. He embraced her, and hence goats and sheep were born. And thus he created everything that exists in pairs, down to the ants.creation, sacred cow He knew, `I indeed am this creation, for I created"
1,4,4-6,"She thought, `How can he embrace me, after having produced me from himself? I shall hide myself.' She then became a cow, the other became a bull and embraced her, and hence cows were born. The one became a mare, the other a stallion; the one a male ass, the other a female ass. He embraced her, and hence one-hoofed animals were born. The one became a she-goat, the other a he-goat; the one became a ewe, the other a ram. He embraced her, and hence goats and sheep were born. And thus he created everything that exists in pairs, down to the ants.creation, sacred cow He knew, `I indeed am this creation, for I created all this.' Hence he became the creation, and he who knows this lives in this his creation. Next he thus produced fire by rubbing. From the"
1,4,5-7,"He knew, `I indeed am this creation, for I created all this.' Hence he became the creation, and he who knows this lives in this his creation. Next he thus produced fire by rubbing. From the mouth, as from the fire-hole, and from the hands he created fire. Therefore both the mouth and the hands are inside without hair, for the fire-hole is inside without hair. And when they say, `Sacrifice to this or sacrifice to that god,' each god is but his manifestation, for he is all gods. Now, whatever there is moist, that he created from seed; this is Soma. So far verily is this universe either food or eater. Soma indeed is food, Agni eater. This is the highest creation of Brahman, when he created the gods from his better part, and when he, who was (then) mortal, created the immortals. Therefore it was the highest creation. And he who knows this, lives in this his highest creation. Now all this was then undeveloped. It became"
1,4,6-8,"Next he thus produced fire by rubbing. From the mouth, as from the fire-hole, and from the hands he created fire. Therefore both the mouth and the hands are inside without hair, for the fire-hole is inside without hair. And when they say, `Sacrifice to this or sacrifice to that god,' each god is but his manifestation, for he is all gods. Now, whatever there is moist, that he created from seed; this is Soma. So far verily is this universe either food or eater. Soma indeed is food, Agni eater. This is the highest creation of Brahman, when he created the gods from his better part, and when he, who was (then) mortal, created the immortals. Therefore it was the highest creation. And he who knows this, lives in this his highest creation. Now all this was then undeveloped. It became developed by form and name, so that one could say, `He, called so and so, is such a one.' Therefore at present also all this is developed by name and form, so that one can say, `He, called so and so, is such a one.' He (Brahman or the Self) entered thither, to the very tips of the finger-nails, as a razor might be fitted in a razor-case, or as fire in a fire-place. He cannot be seen, for, in part only, when breathing, he is breath by name; when speaking, speech by name; when seeing, eye by name; when hearing, ear by name; when thinking, mind by name. All these are but the names of his acts. And he who worships (regards) him as the one or the other, does not know him, for he is apart from this (when qualified) by the one or the other (predicate). Let men worship him as Self, for in the Self all these are one. This Self is the footstep of everything, for through it one knows everything. And as one can find again by footsteps what was lost, thus he who knows this finds glory and praise. This, which is nearer to us than anything, this Self,"
1,4,7-9,"Now all this was then undeveloped. It became developed by form and name, so that one could say, `He, called so and so, is such a one.' Therefore at present also all this is developed by name and form, so that one can say, `He, called so and so, is such a one.' He (Brahman or the Self) entered thither, to the very tips of the finger-nails, as a razor might be fitted in a razor-case, or as fire in a fire-place. He cannot be seen, for, in part only, when breathing, he is breath by name; when speaking, speech by name; when seeing, eye by name; when hearing, ear by name; when thinking, mind by name. All these are but the names of his acts. And he who worships (regards) him as the one or the other, does not know him, for he is apart from this (when qualified) by the one or the other (predicate). Let men worship him as Self, for in the Self all these are one. This Self is the footstep of everything, for through it one knows everything. And as one can find again by footsteps what was lost, thus he who knows this finds glory and praise. This, which is nearer to us than anything, this Self, is dearer than a son, dearer than wealth, dearer than all else. And if one were to say to one who declares another than the Self dear, that he will lose what is dear to him, very likely it would be so. Let him worship the Self alone as dear. He who worships the Self alone as dear, the object of his love will never perish. Here they say: `If men think that by knowledge of"
1,4,8-10,"This, which is nearer to us than anything, this Self, is dearer than a son, dearer than wealth, dearer than all else. And if one were to say to one who declares another than the Self dear, that he will lose what is dear to him, very likely it would be so. Let him worship the Self alone as dear. He who worships the Self alone as dear, the object of his love will never perish. Here they say: `If men think that by knowledge of Brahman they will become everything, what then did that Brahman know, from whence all this sprang?' Verily in the beginning this was Brahman, that"
1,4,9-11,"Here they say: `If men think that by knowledge of Brahman they will become everything, what then did that Brahman know, from whence all this sprang?' Verily in the beginning this was Brahman, that Brahman knew (its) Self only, saying, `I am Brahman.' From it all this sprang. Thus, whatever Deva was awakened (so as to know Brahman), he indeed became that (Brahman); and the same with Rishis and men. The Rishi Vamadeva saw and understood it, singing, `I was Manu (moon), I was the sun.' Therefore now also he who thus knows that he is Brahman, becomes all this, and even the Devas cannot prevent it, for he himself is their Self. Now if a man worships another deity, thinking the deity is one and he another, he does not know. He is like a beast for the Devas. For verily, as many beasts nourish a man, thus does every man nourish the Devas. If only one beast is taken away, it is not pleasant; how much more when many are taken! Therefore it is not pleasant to the Devas that men should know this. Verily in the beginning this was Brahman, one"
1,4,10-12,"Verily in the beginning this was Brahman, that Brahman knew (its) Self only, saying, `I am Brahman.' From it all this sprang. Thus, whatever Deva was awakened (so as to know Brahman), he indeed became that (Brahman); and the same with Rishis and men. The Rishi Vamadeva saw and understood it, singing, `I was Manu (moon), I was the sun.' Therefore now also he who thus knows that he is Brahman, becomes all this, and even the Devas cannot prevent it, for he himself is their Self. Now if a man worships another deity, thinking the deity is one and he another, he does not know. He is like a beast for the Devas. For verily, as many beasts nourish a man, thus does every man nourish the Devas. If only one beast is taken away, it is not pleasant; how much more when many are taken! Therefore it is not pleasant to the Devas that men should know this. Verily in the beginning this was Brahman, one only. That being one, was not strong enough. It created still further the most excellent Kshatra (power), viz. those Kshatras (powers) among the Devas, Indra, Varuna, Soma, Rudra, Parganya, Yama, Mrityu, Isana. Therefore there is nothing beyond the Kshatra, and therefore at the Ragasuya sacrifice the Brahman sits down below the Kshatriya. He confers that glory on the Kshatra alone. But Brahman is (nevertheless) the birth-place of the Kshatra. Therefore though a king is exalted, he sits down at the end (of the sacrifice) below the Brahman, as his birth-place. He who injures him, injures his own birth-place. He becomes worse, because he has injured one better than himself. He was not strong enough. He created the Vis"
1,4,11-13,"Verily in the beginning this was Brahman, one only. That being one, was not strong enough. It created still further the most excellent Kshatra (power), viz. those Kshatras (powers) among the Devas, Indra, Varuna, Soma, Rudra, Parganya, Yama, Mrityu, Isana. Therefore there is nothing beyond the Kshatra, and therefore at the Ragasuya sacrifice the Brahman sits down below the Kshatriya. He confers that glory on the Kshatra alone. But Brahman is (nevertheless) the birth-place of the Kshatra. Therefore though a king is exalted, he sits down at the end (of the sacrifice) below the Brahman, as his birth-place. He who injures him, injures his own birth-place. He becomes worse, because he has injured one better than himself. He was not strong enough. He created the Vis (people), the classes of Devas which in their different orders are called Vasus, Rudras, Adityas, Visve Devas, Maruts. He was not strong enough. He created the"
1,4,12-14,"He was not strong enough. He created the Vis (people), the classes of Devas which in their different orders are called Vasus, Rudras, Adityas, Visve Devas, Maruts. He was not strong enough. He created the Sudra colour (caste), as Pushan (as nourisher). This earth verily is Pushan (the nourisher); for the earth nourishes all this whatsoever. He was not strong enough. He created still"
1,4,13-15,"He was not strong enough. He created the Sudra colour (caste), as Pushan (as nourisher). This earth verily is Pushan (the nourisher); for the earth nourishes all this whatsoever. He was not strong enough. He created still further the most excellent Law (dharma). Law is the Kshatra (power) of the Kshatra, therefore there is nothing higher than the Law. Thenceforth even a weak man rules a stronger with the help of the Law, as with the help of a king. Thus the Law is what is called the true. And if a man declares what is true, they say he declares the Law; and if he declares the Law, they say he declares what is true. Thus both are the same. There are then this Brahman, Kshatra, Vis, and"
1,4,14-16,"He was not strong enough. He created still further the most excellent Law (dharma). Law is the Kshatra (power) of the Kshatra, therefore there is nothing higher than the Law. Thenceforth even a weak man rules a stronger with the help of the Law, as with the help of a king. Thus the Law is what is called the true. And if a man declares what is true, they say he declares the Law; and if he declares the Law, they say he declares what is true. Thus both are the same. There are then this Brahman, Kshatra, Vis, and Sudra. Among the Devas that Brahman existed Kshatriya through the (divine) Kshatriya, as Vaisya through the (divine) Vaisya, as Sudra through the (divine) Sudra. Therefore people wish for their future state among the Devas through Agni (the sacrificial fire) in these two forms did Brahman exist. Now if a man departs this life without having seen his true future life (in the Self), then that Self, not being known, does not receive and bless him, as if the Veda had not been read, or as if a good work had not been done. Nay, even if one who does not know that (Self), should perform here on earth some great holy work, it will perish for him in the end. Let a man worship the Self only as his true state. If a man worships the Self only as his true state, his work does not perish, for whatever he desires that he gets from that Self. Now verily this Self (of the ignorant man) is the"
