ParagraphRange,Text
11-13,"We have absolved you from the requirement of performing the Prayer of the Signs. On the appearance of fearful natural events call ye to mind the might and majesty of your Lord, He Who heareth and seeth all, and say ""Dominion is God’s, the Lord of the seen and the unseen, the Lord of creation"". It hath been ordained that obligatory prayer is to be performed by each of you individually. Save in the Prayer for the Dead, the practice of congregational prayer hath been annulled. He, of a truth, is the Ordainer, the All-Wise. God hath exempted women who are in their courses from obligatory prayer and fasting. Let them, instead, after performance of their ablutions, give praise unto God, repeating ninety-five times between the noon of one day and the next ""Glorified be God, the Lord of Splendour and Beauty"". Thus hath it been decreed in the Book, if ye be of them that comprehend."
12-14,"It hath been ordained that obligatory prayer is to be performed by each of you individually. Save in the Prayer for the Dead, the practice of congregational prayer hath been annulled. He, of a truth, is the Ordainer, the All-Wise. God hath exempted women who are in their courses from obligatory prayer and fasting. Let them, instead, after performance of their ablutions, give praise unto God, repeating ninety-five times between the noon of one day and the next ""Glorified be God, the Lord of Splendour and Beauty"". Thus hath it been decreed in the Book, if ye be of them that comprehend. When travelling, if ye should stop and rest in some safe spot, perform ye—men and women alike—a single prostration in place of each unsaid Obligatory Prayer, and while prostrating say ""Glorified be God, the Lord of Might and Majesty, of Grace and Bounty"". Whoso is unable to do this, let him say only ""Glorified be God""; this shall assuredly suffice him. He is, of a truth, the all-sufficing, the ever-abiding, the forgiving, compassionate God. Upon completing your prostrations, seat yourselves cross-legged—men and women alike—and eighteen times repeat ""Glorified be God, the Lord of the kingdoms of earth and heaven"". Thus doth the Lord make plain the ways of truth and guidance, ways that lead to one way, which is this Straight Path. Render thanks unto God for this most gracious favour; offer praise unto Him for this bounty that hath encompassed the heavens and the earth; extol Him for this mercy that hath pervaded all creation."
13-15,"God hath exempted women who are in their courses from obligatory prayer and fasting. Let them, instead, after performance of their ablutions, give praise unto God, repeating ninety-five times between the noon of one day and the next ""Glorified be God, the Lord of Splendour and Beauty"". Thus hath it been decreed in the Book, if ye be of them that comprehend. When travelling, if ye should stop and rest in some safe spot, perform ye—men and women alike—a single prostration in place of each unsaid Obligatory Prayer, and while prostrating say ""Glorified be God, the Lord of Might and Majesty, of Grace and Bounty"". Whoso is unable to do this, let him say only ""Glorified be God""; this shall assuredly suffice him. He is, of a truth, the all-sufficing, the ever-abiding, the forgiving, compassionate God. Upon completing your prostrations, seat yourselves cross-legged—men and women alike—and eighteen times repeat ""Glorified be God, the Lord of the kingdoms of earth and heaven"". Thus doth the Lord make plain the ways of truth and guidance, ways that lead to one way, which is this Straight Path. Render thanks unto God for this most gracious favour; offer praise unto Him for this bounty that hath encompassed the heavens and the earth; extol Him for this mercy that hath pervaded all creation. Say: God hath made My hidden love the key to the Treasure; would that ye might perceive it! But for the key, the Treasure would to all eternity have remained concealed; would that ye might believe it! Say: This is the Source of Revelation, the Dawning-place of Splendour, Whose brightness hath illumined the horizons of the world. Would that ye might understand! This is, verily, that fixed Decree through which every irrevocable decree hath been established."
14-16,"When travelling, if ye should stop and rest in some safe spot, perform ye—men and women alike—a single prostration in place of each unsaid Obligatory Prayer, and while prostrating say ""Glorified be God, the Lord of Might and Majesty, of Grace and Bounty"". Whoso is unable to do this, let him say only ""Glorified be God""; this shall assuredly suffice him. He is, of a truth, the all-sufficing, the ever-abiding, the forgiving, compassionate God. Upon completing your prostrations, seat yourselves cross-legged—men and women alike—and eighteen times repeat ""Glorified be God, the Lord of the kingdoms of earth and heaven"". Thus doth the Lord make plain the ways of truth and guidance, ways that lead to one way, which is this Straight Path. Render thanks unto God for this most gracious favour; offer praise unto Him for this bounty that hath encompassed the heavens and the earth; extol Him for this mercy that hath pervaded all creation. Say: God hath made My hidden love the key to the Treasure; would that ye might perceive it! But for the key, the Treasure would to all eternity have remained concealed; would that ye might believe it! Say: This is the Source of Revelation, the Dawning-place of Splendour, Whose brightness hath illumined the horizons of the world. Would that ye might understand! This is, verily, that fixed Decree through which every irrevocable decree hath been established. O Pen of the Most High! Say: O people of the world! We have enjoined upon you fasting during a brief period, and at its close have designated for you Naw-Rúz as a feast. Thus hath the Day-Star of Utterance shone forth above the horizon of the Book as decreed by Him Who is the Lord of the beginning and the end. Let the days in excess of the months be placed before the month of fasting. We have ordained that these, amid all nights and days, shall be the manifestations of the letter Há, and thus they have not been bounded by the limits of the year and its months. It behoveth the people of Bahá, throughout these days, to provide good cheer for themselves, their kindred and, beyond them, the poor and needy, and with joy and exultation to hail and glorify their Lord, to sing His praise and magnify His Name; and when they end—these days of giving that precede the season of restraint—let them enter upon the Fast. Thus hath it been ordained by Him Who is the Lord of all mankind. The traveller, the ailing, those who are with child or giving suck, are not bound by the Fast; they have been exempted by God as a token of His grace. He, verily, is the Almighty, the Most Generous."
15-17,"Say: God hath made My hidden love the key to the Treasure; would that ye might perceive it! But for the key, the Treasure would to all eternity have remained concealed; would that ye might believe it! Say: This is the Source of Revelation, the Dawning-place of Splendour, Whose brightness hath illumined the horizons of the world. Would that ye might understand! This is, verily, that fixed Decree through which every irrevocable decree hath been established. O Pen of the Most High! Say: O people of the world! We have enjoined upon you fasting during a brief period, and at its close have designated for you Naw-Rúz as a feast. Thus hath the Day-Star of Utterance shone forth above the horizon of the Book as decreed by Him Who is the Lord of the beginning and the end. Let the days in excess of the months be placed before the month of fasting. We have ordained that these, amid all nights and days, shall be the manifestations of the letter Há, and thus they have not been bounded by the limits of the year and its months. It behoveth the people of Bahá, throughout these days, to provide good cheer for themselves, their kindred and, beyond them, the poor and needy, and with joy and exultation to hail and glorify their Lord, to sing His praise and magnify His Name; and when they end—these days of giving that precede the season of restraint—let them enter upon the Fast. Thus hath it been ordained by Him Who is the Lord of all mankind. The traveller, the ailing, those who are with child or giving suck, are not bound by the Fast; they have been exempted by God as a token of His grace. He, verily, is the Almighty, the Most Generous. These are the ordinances of God that have been set down in the Books and Tablets by His Most Exalted Pen. Hold ye fast unto His statutes and commandments, and be not of those who, following their idle fancies and vain imaginings, have clung to the standards fixed by their own selves, and cast behind their backs the standards laid down by God. Abstain from food and drink from sunrise to sundown, and beware lest desire deprive you of this grace that is appointed in the Book."
16-18,"O Pen of the Most High! Say: O people of the world! We have enjoined upon you fasting during a brief period, and at its close have designated for you Naw-Rúz as a feast. Thus hath the Day-Star of Utterance shone forth above the horizon of the Book as decreed by Him Who is the Lord of the beginning and the end. Let the days in excess of the months be placed before the month of fasting. We have ordained that these, amid all nights and days, shall be the manifestations of the letter Há, and thus they have not been bounded by the limits of the year and its months. It behoveth the people of Bahá, throughout these days, to provide good cheer for themselves, their kindred and, beyond them, the poor and needy, and with joy and exultation to hail and glorify their Lord, to sing His praise and magnify His Name; and when they end—these days of giving that precede the season of restraint—let them enter upon the Fast. Thus hath it been ordained by Him Who is the Lord of all mankind. The traveller, the ailing, those who are with child or giving suck, are not bound by the Fast; they have been exempted by God as a token of His grace. He, verily, is the Almighty, the Most Generous. These are the ordinances of God that have been set down in the Books and Tablets by His Most Exalted Pen. Hold ye fast unto His statutes and commandments, and be not of those who, following their idle fancies and vain imaginings, have clung to the standards fixed by their own selves, and cast behind their backs the standards laid down by God. Abstain from food and drink from sunrise to sundown, and beware lest desire deprive you of this grace that is appointed in the Book. It hath been ordained that every believer in God, the Lord of Judgement, shall, each day, having washed his hands and then his face, seat himself and, turning unto God, repeat ""Alláh-u-Abhá"" ninety-five times. Such was the decree of the Maker of the Heavens when, with majesty and power, He established Himself upon the thrones of His Names. Perform ye, likewise, ablutions for the Obligatory Prayer; this is the command of God, the Incomparable, the Unrestrained."
17-19,"These are the ordinances of God that have been set down in the Books and Tablets by His Most Exalted Pen. Hold ye fast unto His statutes and commandments, and be not of those who, following their idle fancies and vain imaginings, have clung to the standards fixed by their own selves, and cast behind their backs the standards laid down by God. Abstain from food and drink from sunrise to sundown, and beware lest desire deprive you of this grace that is appointed in the Book. It hath been ordained that every believer in God, the Lord of Judgement, shall, each day, having washed his hands and then his face, seat himself and, turning unto God, repeat ""Alláh-u-Abhá"" ninety-five times. Such was the decree of the Maker of the Heavens when, with majesty and power, He established Himself upon the thrones of His Names. Perform ye, likewise, ablutions for the Obligatory Prayer; this is the command of God, the Incomparable, the Unrestrained. Ye have been forbidden to commit murder or adultery, or to engage in backbiting or calumny; shun ye, then, what hath been prohibited in the holy Books and Tablets."
18-20,"It hath been ordained that every believer in God, the Lord of Judgement, shall, each day, having washed his hands and then his face, seat himself and, turning unto God, repeat ""Alláh-u-Abhá"" ninety-five times. Such was the decree of the Maker of the Heavens when, with majesty and power, He established Himself upon the thrones of His Names. Perform ye, likewise, ablutions for the Obligatory Prayer; this is the command of God, the Incomparable, the Unrestrained. Ye have been forbidden to commit murder or adultery, or to engage in backbiting or calumny; shun ye, then, what hath been prohibited in the holy Books and Tablets. We have divided inheritance into seven categories: to the children, We have allotted nine parts comprising five hundred and forty shares; to the wife, eight parts comprising four hundred and eighty shares; to the father, seven parts comprising four hundred and twenty shares; to the mother, six parts comprising three hundred and sixty shares; to the brothers, five parts or three hundred shares; to the sisters, four parts or two hundred and forty shares; and to the teachers, three parts or one hundred and eighty shares. Such was the ordinance of My Forerunner, He Who extolleth My Name in the night season and at the break of day. When We heard the clamour of the children as yet unborn, We doubled their share and decreased those of the rest. He, of a truth, hath power to ordain whatsoever He desireth, and He doeth as He pleaseth by virtue of His sovereign might."
19-21,"Ye have been forbidden to commit murder or adultery, or to engage in backbiting or calumny; shun ye, then, what hath been prohibited in the holy Books and Tablets. We have divided inheritance into seven categories: to the children, We have allotted nine parts comprising five hundred and forty shares; to the wife, eight parts comprising four hundred and eighty shares; to the father, seven parts comprising four hundred and twenty shares; to the mother, six parts comprising three hundred and sixty shares; to the brothers, five parts or three hundred shares; to the sisters, four parts or two hundred and forty shares; and to the teachers, three parts or one hundred and eighty shares. Such was the ordinance of My Forerunner, He Who extolleth My Name in the night season and at the break of day. When We heard the clamour of the children as yet unborn, We doubled their share and decreased those of the rest. He, of a truth, hath power to ordain whatsoever He desireth, and He doeth as He pleaseth by virtue of His sovereign might. Should the deceased leave no offspring, their share shall revert to the House of Justice, to be expended by the Trustees of the All-Merciful on the orphaned and widowed, and on whatsoever will bring benefit to the generality of the people, that all may give thanks unto their Lord, the All-Gracious, the Pardoner."
20-22,"We have divided inheritance into seven categories: to the children, We have allotted nine parts comprising five hundred and forty shares; to the wife, eight parts comprising four hundred and eighty shares; to the father, seven parts comprising four hundred and twenty shares; to the mother, six parts comprising three hundred and sixty shares; to the brothers, five parts or three hundred shares; to the sisters, four parts or two hundred and forty shares; and to the teachers, three parts or one hundred and eighty shares. Such was the ordinance of My Forerunner, He Who extolleth My Name in the night season and at the break of day. When We heard the clamour of the children as yet unborn, We doubled their share and decreased those of the rest. He, of a truth, hath power to ordain whatsoever He desireth, and He doeth as He pleaseth by virtue of His sovereign might. Should the deceased leave no offspring, their share shall revert to the House of Justice, to be expended by the Trustees of the All-Merciful on the orphaned and widowed, and on whatsoever will bring benefit to the generality of the people, that all may give thanks unto their Lord, the All-Gracious, the Pardoner. Should the deceased leave offspring, but none of the other categories of heirs that have been specified in the Book, they shall receive two thirds of the inheritance and the remaining third shall revert to the House of Justice. Such is the command which hath been given, in majesty and glory, by Him Who is the All-Possessing, the Most High."
21-23,"Should the deceased leave no offspring, their share shall revert to the House of Justice, to be expended by the Trustees of the All-Merciful on the orphaned and widowed, and on whatsoever will bring benefit to the generality of the people, that all may give thanks unto their Lord, the All-Gracious, the Pardoner. Should the deceased leave offspring, but none of the other categories of heirs that have been specified in the Book, they shall receive two thirds of the inheritance and the remaining third shall revert to the House of Justice. Such is the command which hath been given, in majesty and glory, by Him Who is the All-Possessing, the Most High. If the deceased should leave none of the specified heirs, but have among his relatives nephews and nieces, whether on his brother’s or his sister’s side, two thirds of the inheritance shall pass to them; or, lacking these, to his uncles and aunts on both his father’s and his mother’s side, and after them to their sons and daughters. The remaining third of the inheritance shall, in any case, revert to the Seat of Justice. Thus hath it been laid down in the Book by Him Who ruleth over all men."
22-24,"Should the deceased leave offspring, but none of the other categories of heirs that have been specified in the Book, they shall receive two thirds of the inheritance and the remaining third shall revert to the House of Justice. Such is the command which hath been given, in majesty and glory, by Him Who is the All-Possessing, the Most High. If the deceased should leave none of the specified heirs, but have among his relatives nephews and nieces, whether on his brother’s or his sister’s side, two thirds of the inheritance shall pass to them; or, lacking these, to his uncles and aunts on both his father’s and his mother’s side, and after them to their sons and daughters. The remaining third of the inheritance shall, in any case, revert to the Seat of Justice. Thus hath it been laid down in the Book by Him Who ruleth over all men. Should the deceased be survived by none of those whose names have been recorded by the Pen of the Most High, his estate shall, in its entirety, revert to the aforementioned Seat that it may be expended on that which is prescribed by God. He, verily, is the Ordainer, the Omnipotent."
23-25,"If the deceased should leave none of the specified heirs, but have among his relatives nephews and nieces, whether on his brother’s or his sister’s side, two thirds of the inheritance shall pass to them; or, lacking these, to his uncles and aunts on both his father’s and his mother’s side, and after them to their sons and daughters. The remaining third of the inheritance shall, in any case, revert to the Seat of Justice. Thus hath it been laid down in the Book by Him Who ruleth over all men. Should the deceased be survived by none of those whose names have been recorded by the Pen of the Most High, his estate shall, in its entirety, revert to the aforementioned Seat that it may be expended on that which is prescribed by God. He, verily, is the Ordainer, the Omnipotent. We have assigned the residence and personal clothing of the deceased to the male, not female, offspring, nor to the other heirs. He, verily, is the Munificent, the All-Bountiful."
24-26,"Should the deceased be survived by none of those whose names have been recorded by the Pen of the Most High, his estate shall, in its entirety, revert to the aforementioned Seat that it may be expended on that which is prescribed by God. He, verily, is the Ordainer, the Omnipotent. We have assigned the residence and personal clothing of the deceased to the male, not female, offspring, nor to the other heirs. He, verily, is the Munificent, the All-Bountiful. Should the son of the deceased have passed away in the days of his father and have left children, they will inherit their father’s share, as prescribed in the Book of God. Divide ye their share amongst them with perfect justice. Thus have the billows of the Ocean of Utterance surged, casting forth the pearls of the laws decreed by the Lord of all mankind."
25-27,"We have assigned the residence and personal clothing of the deceased to the male, not female, offspring, nor to the other heirs. He, verily, is the Munificent, the All-Bountiful. Should the son of the deceased have passed away in the days of his father and have left children, they will inherit their father’s share, as prescribed in the Book of God. Divide ye their share amongst them with perfect justice. Thus have the billows of the Ocean of Utterance surged, casting forth the pearls of the laws decreed by the Lord of all mankind. If the deceased should leave children who are under age, their share of the inheritance must be entrusted to a reliable individual, or to a company, that it may be invested on their behalf in trade and business until they come of age. The trustee should be assigned a due share of the profit that hath accrued to it from being thus employed."
26-28,"Should the son of the deceased have passed away in the days of his father and have left children, they will inherit their father’s share, as prescribed in the Book of God. Divide ye their share amongst them with perfect justice. Thus have the billows of the Ocean of Utterance surged, casting forth the pearls of the laws decreed by the Lord of all mankind. If the deceased should leave children who are under age, their share of the inheritance must be entrusted to a reliable individual, or to a company, that it may be invested on their behalf in trade and business until they come of age. The trustee should be assigned a due share of the profit that hath accrued to it from being thus employed. Division of the estate should take place only after the Ḥuqúqu’lláh hath been paid, any debts have been settled, the expenses of the funeral and burial defrayed, and such provision made that the deceased may be carried to his resting-place with dignity and honour. Thus hath it been ordained by Him Who is Lord of the beginning and the end."
