Chapter,Paragraph,Text
2,56,"Mahamati, the purification by the Tathagata of all beings is gradual andnot instantaneous.Mahamati, it is like a mirror indiscriminately and instantaneouslyreflecting in it forms and images; in the same way, Mahamati, thepurification by the Tathagata of all beings is instantaneous, who makesthem free from discrimination and leads them to the state ofimagelessness. Mahamati, it is like the sun or the moon revealing allforms instantaneously by illuminating them with its light; in the same way,Mahamati, the Tathagata, by making all beings discard the habit-energywhich issues from the erroneous views they entertain in regard to anexternal world which is of the Mind, instantaneously reveals to all beingsthe realm of unthinkable knowledge which belongs to Buddhahood. It islike the alayaVijnana making instantaneously a world of body, property,and abode, which is what is seen of Mind itself; in the same way,Mahamati, the Nishyanda-Buddha, instantaneously maturing thementality of beings, places them in the palatial abode of the Akanishthamansion where they will become practisers of various spiritualexercises. Mahamati, it is like the Dharmata-Buddha shining forthinstantaneously with the rays that issue from the Nishyanda-Nirmana [Buddha]; in the same way, Mahamati, the noble truth of self-realizationinstantaneously shines out when the false [dualistic] views of existenceand non-existence are discarded."
2,57,"And yet again, Mahamati, what the Dharniata-Nishyanda-Buddha [thatis, the Buddha that flows out of the absolute Dharma] teaches is that allthings are comprehensible under the aspects of individuality andgenerality, for they are bound up with causes and conditions of habitenergy which is accumulated by not recognising an external world as ofMind itself; that by reason of clinging to these false imaginations there ismultitudinousness of unrealities, which resemble the various scenes andpersons created magically and imagined as really in existence. Furtheragain, Mahamati, false imaginations arise from clinging to the notion ofrelativity. To illustrate: when the magician depending upon grass, wood,shrubs, and creepers, exercises his art, all beings and forms take shape,"
2,58,"magically-created persons are produced, which appear endowed withindividuality and material body, and they are variously and fancifullydiscriminated. While they are thus manifesting themselves, Mahamati,there is no substantiality in them. Likewise, Mahamati, based on thenotion of relativity the false imagination recognises a variety ofappearances which are distinguished by a discriminating mind. And astheir individual appearances are imagined and adhered to, there is habitenergy, and, Mahamati, so long as the fancying goes on we have hereall that is needed to constitute the self-nature of the false imagination.Mahamati, this is the discourse of the Nishyanda Buddha.Again, Mahamati, it is the doing of the Dharmata-Buddha to establishthe exalted state of self-realization which transcends the phenomena ofthe [empirical] mind.Again, Mahamati, what the Nirmita-Nirmana-Buddha [or Buddha oftransformation] establishes concerns such matters as charity, morality,meditation, tranquillisation, various forms of transcendental knowledgeand of understanding, the Skandhas, Dhatus, and ayatanas,emancipation, the Vijnanas, and the ways in which they function, theforms which they take, their distinctions and their performances. TheBuddha discloses against the philosophical views that which surpassesforms.Again Mahamati, the Dharmata-Buddha is unconditioned, free fromconditions, has nothing to do with all doings, senses, and measurements,and does not belong to the world of the ignorant, Sravakas,Pratyekabuddhas, and philosophers, who are always clinging to thenotion of an ego. For this reason, Mahamati, you should disciplineyourself in the excellent and exalted way leading to self-realization; youshould keep yourself away from the views that recognise the reality ofan external world apart from the Mind itself."
2,59,"Further again, Mahamati, in the life of the Sravaka-vehicle, there aretwo aspects to be distinguished, namely, the excellent and exalted state"
2,60,"of self-realization, and the attachment to the notion of self-nature arisingfrom discrimination. What is the excellent, exalted state of selfrealization belonging to the Sravakas? This is a state of mentalconcentration which is attained when one realizes states of emptiness,egolessness, suffering, and impermanence, and the truth that is free frompassions and is ever serene; when one annihilates notions belonging tothe externality of things, such as the Skandhas, Dhatus, ayatanas,individuality and generality; and when one has an insight into reality as itis. Entering upon this state of mental concentration the Sravakas willattain the blissful abode of exalted self-realization in which there is theemancipation belonging to a Dhyana, the path and fruit of a Samadhi,and the deliverance of a Samapatti, but in which there is as yet nodiscarding of habit-energy and no escape from the imperceivabletransformation of death. This, Mahamati, is the Sravaka's exalted stateof self-realization. Having attained this exalted and blissful condition ofself-realization as realized by the Sravakas, Mahamati, the BodhisattvaMahasattva may not enjoy by himself the bliss of cessation, the bliss ofSamapatti, but should think compassionately of other beings and keepever fresh his original vows. Mahamati, in whatever exalted and blissfulstate of self-realization the Bodhisattva may find himself, he shouldnever exert himself in the exalted and blissful state of self-realization asattained by the Sravakas.Mahamati, what is meant by the attachment to the notion of self-naturearising from discrimination? This attachment takes place when a man,seeing that the elements and the qualities such as blue, yellow, warmth,humidity, motility, and rigidity, have never been created by a creator,yet clings to the notions of individuality and generality in accordancewith the measures laid down in books of logic. Mahamati, theBodhisattva, knowing what this is, must abandon it. Conforming himselfto the egolessness of things and holding back the wrong views regardingthe egolessness of a person, the Bodhisattva should keep himself on thecontinuously-ascending journey along the stages. This is the Sravaka'sattachment to the notion of self-nature arising from the discrimination ofexistence."
2,61,"At that time Mahamati the Bodhisattva-Mahasattva said this to theBhagavan: According to the Bhagavan's teaching, the eternalunthinkable is the exalted condition of self-realization and also of highestreality. Now, do not the philosophers also talk about the creative agentbeing the eternal-unthinkable?The Bhagavan replied: No, Mahamati, the eternal-unthinkableconsidered by the philosophers to be characteristic of their creator isuntenable. Why? Because, Mahamati, the eternal-unthinkable as heldby the philosophers is not in conformity with the idea of a cause itself.When, Mahamati, this eternal-unthinkable is not in conformity with theidea of a cause itself how can this be proved tenable? Again, Mahamati,if what is claimed to be the eternal-unthinkable is in conformity with theidea of a cause [which is eternal] in itself, it can be eternal; but since theidea of a creator is based upon that of a [further] cause, it cannot be theeternal-unthinkable.But, Mahamati, my highest reality is the eternal-unthinkable since itconforms to the idea of a cause and is beyond existence and nonexistence. Because it is the exalted state of self-realization it has its owncharacter; because it is the cause of the highest reality it has itscausation; because it has nothing to do with existence and non-existenceit is no doer; because it is to be classed under the same head as space,Nirvana, and cessation it is eternal. Therefore, Mahamati, it is not thesame as the eternal-unthinkable of the philosophers; the eternalunthinkable of the Tathagatas is thatness realized by noble wisdomwithin themselves. For this reason, Mahamati, let the BodhisattvaMahasattva discipline himself in order to attain by means of noblewisdom the truth of self-realization which is the eternal-unthinkable.Again, further, Mahamati, the eternal-unthinkable of the philosophers isnot characterised with eternality because it has a cause which is noteternal; what they regard as eternal is not eternal as it is notcharacterised with the power that can create itself. If again, Mahamati,the philosophers prove the eternality of their eternal-unthinkable in"
2,62,"contradistinction to the becoming and therefore the non-eternality ofthings created, Mahamati, by the same reasoning I can prove that theireternality has no reason to be known as such just because thingscreated are non-eternal owing to their becoming.If again, Mahamati, the eternal-unthinkable of the philosophers is inconformity with the idea of a cause, what they regard as characteristicof a cause is a non-entity like the horns of a hare; and, Mahamati, theireternal-unthinkable is no more than a verbal discrimination, in which,Mahamati, the philosophers' fault consists. Why? Because, Mahamati,mere verbal discriminations are, indeed, the hare's horns, on account oftheir having no characteristic of a self-cause. Mahamati, moreover, myeternal-unthinkable is really eternal because it finds its cause in theexalted state of self-realization, and because it has nothing to do with acreator, with being and non-being. Its eternality is not derived from thereasoning which is based upon the external notion of being and nonbeing, of eternity and non-eternity. If the eternal-unthinkable is eternal inconsideration of the non-existence and eternality of external things, wecan say of this kind of the eternal-unthinkable that the philosophers donot know what is meant by characteristically self-caused. As they areoutside the state of self-realization attainable by noble wisdom,Mahamati, their discourse is not to the point."
2,63,"Further, Mahamati, those who, afraid of sufferings arising from thediscrimination of birth-and-death, seek for Nirvana, do not know thatbirth-and-death and Nirvana are not to be separated the one from theother; and, seeing that all things subject to discrimination have no reality,imagine that Nirvana consists in the future annihilation of the senses andtheir fields. They are not aware, Mahamati, of the fact that Nirvana isthe alayaVijnana where a revulsion takes place by self-realization.Therefore, Mahamati, those who are stupid talk of the trinity of vehiclesand not of the state of Mind-only where there are no images. Therefore,Mahamati, those who do not understand the teachings of the Tathagatasof the past, present, and future, concerning the external world, which isof Mind itself, cling to the notion that there is a world outside what is"
2,64,"seen of the Mind and, Mahamati, go on rolling themselves along thewheel of birth-and-death."
2,65,"Further, Mahamati, according to the teaching of the Tathagatas of thepast, present, and future, all things are unborn. Why? Because theyhave no reality, being manifestations of Mind itself, and, Mahamati, asthey are not born of being and non-being, they are unborn. Mahamati,all things are like the horns of the hare, horse, donkey, or camel, but theignorant and simple-minded who are given up to their false anderroneous imaginations, discriminate things where they are not;therefore, all things are unborn. That all things are in their self-natureunborn, Mahamati, belongs to the realm of self-realization attained bynoble wisdom, and does not belong essentially to the realm of dualisticdiscrimination cherished by the ignorant and simple-minded. The selfnature and the characteristic marks of body, property, and abodeevolve when the alayaVijnana is conceived by the ignorant as graspingand grasped; and then they fall into a dualistic view of existence wherethey recognise its rise, abiding, and disappearance, cherishing the ideathat all things are born and subject to discrimination as to being andnon-being. Therefore, Mahamati, you should discipline yourself therein[i. e. in self-realization]."
2,66,"Again further, Mahamati, there are five groups of people, each of whomattains its own [spiritual] insight. What are the five? They are: (1) thegroup of people whose insight belongs to the Sravaka-vehicle; (2) thegroup of people whose insight belongs to the Pratyekabuddha-vehicle;(3) the group of people whose insight belongs to the Tathagata-vehicle;(4) the group of indefinite character; and (5) the group of people towhom no insight is possible.Mahamati, how does one know the group of people whose insightbelongs to the Sravaka vehicle? There are people the hair of whosebody will stand on end when they know and realize the nature of theSkandhas, Dhatus, ayatanas, and [what is meant by] generality and"
2,67,"individuality; their intellect will leap with joy on knowing and practisingwhat belongs to appearance and not on practising what they know ofthe uninterrupted chain of causation, --such ones, Mahamati, are said tobe of the group whose insight belongs to the Sravaka vehicle. Havinghad an insight into their own vehicle, they abide at the fifth or the sixthstage where they do away with the rising of the passions, but not withthe habit-energy; they have not yet passed beyond the inconceivabletransformation-death, and their lion-roar is, ""My life is destroyed, mymorality is established, etc.""; they will then discipline themselves in theegolessness of persons and finally gain the knowledge of Nirvana.Again, Mahamati, there are others who, believing in such things as ego,being, vital principle, nourisher, supreme spirit, or personal soul, willseek Nirvana in them. Again, Mahamati, there are still others who,seeing that all things exist by depending upon causes, will recognise inthis the way to Nirvana. But, Mahamati, as they have no insight into theegolessness of things, there is no emancipation for them. This,Mahamati, is where those of the Sravaka-vehicle and the philosophersmake the mistake in their insight by regarding non-deliverance asdeliverance. Therefore, Mahamati, you ought to discipline yourself inorder to escape this wrong view.Now, Mahamati, they belong to the group of the Pratyekabuddhavehicle who will shed tears and feel the hair of their body stand on endwhen the Pratyekabuddha's insight is shown to them. When the teachingto keep themselves away from social relations and entanglements, not tobecome attached to the external world and its manifold form, toperform miraculous powers by which they can divide their own bodyand appear double or perform the transformations, is disclosed to them,they are thereby entreated. Recognising that they are of the groupwhose insight belong to the Pratyekabuddha-vehicle, their discourseswill be in conformity with the insight of the Pratyekabuddha-vehicle.This, Mahamati, is the characteristic feature of the group of peoplewhose insight belongs to the Pratyekabuddha-vehicle.Now, Mahamati, three aspects are distinguishable in the insight"
2,68,"belonging to the group of the Tathagata-vehicle. They are: (1) an insightwhereby one sees into the self-nature of things, which is no self-nature;(2) an exalted insight which is the attainment of self-realization; and (3)an insight into the immensity of the external Buddha-lands. When,Mahamati, these three aspects are disclosed one after another and alsowhen the inconceivable realm of the alayaVijnana is disclosed, wherebody, property, and abode are seen to be the manifestation of Minditself, a man will not be frightened, nor terrified, nor show any sign offear; then such a one is to be known as of the group of people whoseinsight belongs to the Tathagata-vehicle. This is, Mahamati, thecharacteristic feature of the insight of those who belong to theTathagata-vehicle.Again, Mahamati, when these three forms of insight are disclosed to aman, he may thereby be pursuaded to discipline himself in them. This,Mahamati, is the stage of preparation for the establishment of his owngroup. In order that he may go up to the stage of imagelessness, there isthis establishment. But the Sravaka who will purify his own habit-energyof passions by attaining an inner perception into the alaya and by seeinginto the egolessness of things, will settle himself in the bliss of theSamadhi and finally will attain the body of Tathagatahood."
2,69,"Then the Bhagavan recited these verses:130. The fruit of the Stream-entered, and that of the Once-to-come; thefruit of the Not-to-come and Arhatship-- all these are due to mentalperturbation.131. The triple vehicle, the one vehicle, and the no-vehicle, of these Italk, for the sake of the dull-witted, and [also] for the wise, solitudeloving ones.132. The gate of highest reality has nothing to do with the two forms ofthought-construction [subject and object]; Where the imageless stands,why should we establish the triple vehicles?"
2,70,"133. The Dhyanas, the immeasurables, and the no-form Samadhis, andthe thought-cessation--all these are not at all found in Mind-only."
2,71,"Again, Mahamati, how is it that the Icchantika1 never awaken thedesire for emancipation? Because they have abandoned all the stock ofmerit, and because they cherish certain vows for all beings sincebeginningless time. What is meant by abandoning all the stock of merit?It refers to [those Buddhists] who have abandoned the Bodhisattvacollection [of the canonical texts], making the false accusation that theyare not in conformity with the sutras, the codes of morality, and theemancipation. By this they have forsaken all the stock of merit and willnot enter into Nirvana. Secondly again, Mahamati, there areBodhisattva-Mahasattvas who, on account of their original vows madefor all beings, saying, ""So long as they do not attain Nirvana, I will notattain it myself,"" keep themselves away from Nirvana. This, Mahamati,is the reason of their not entering into Nirvana, and because of this theygo on the way of the Icchantika."
2,72,"Again, Mahamati said; Who, Bhagavan, would never enter Nirvana?The Bhagavan replied: Knowing that all things are in Nirvana itself fromthe very beginning, the Bodhisattva-Icchantika would never enterNirvana. But those Icchantikas who have forsaken all the stock of merit[finally] do. Those Icchantikas, Mahamati, who have forsaken all thestock of merit might some day be influenced by the power of theTathagatas and be induced at any moment to foster the stock of merit.Why? Because, Mahamati, no beings are left aside by the Tathagatas.For this reason, Mahamati, it is the Bodhisattva-Icchantika who neverenters into Nirvana."
2,73,"Further, Mahamati, let the Bodhisattva-Mahasattva be well acquaintedwith the three kinds of Svabhava (self-nature). [What are the three?"
2,74,"They are (1) false discrimination, (2) knowledge of relativity, and (3)perfect knowledge.] Now, Mahamati, false discrimination rises fromform (nimitta). How, Mahamati, does it rise from form? In [theconsideration of] the relativity aspect of Svabhava, realities appear invarious ways, as having forms, signs, and shapes; when, Mahamati,these objects, forms, and signs are adhered to [as real], this adherencetakes place in two ways. The Tathagatas, Arhats, and Fully-EnlightenedOnes thus declare false discrimination to consist in attachment to namesand attachment to objects. By the attachment to objects is meant,Mahamati, to get attached to inner and external things [as realities]. Bythe attachment to names is meant to recognise in these inner andexternal things the characteristic marks of individuality and generalityand to regard them as definitely belonging to the objects. These twomodes of attachment, Mahamati, constitute false discrimination. Theknowledge of the relativity-aspect (paratantra) rises from the separationof subject (asraya) and object (alambana).Now, Mahamati, what is perfect knowledge? It is realized when onecasts aside the discriminating notions of form, name, reality, andcharacter; it is the inner realization by noble wisdom. This perfectknowledge, Mahamati, is the essence of the Tathagata-garbha.Then the Bhagavan recited this verse:134. Form, Name, and Discrimination [correspond to] the two forms ofSvabhava, and Right Knowledge and Suchness [correspond to] thePerfect Knowledge aspect.This, Mahamati, is called the doctrine that examines into the nature ofthe five Dharmas and the two Svabhavas (self-nature), and constitutesthe state of self-realization attained by noble wisdom, and in this youand other Bodhisattvas are to discipline yourselves."
2,75,"Further again, Mahamati, let the Bodhisattva-Mahasattva have athorough understanding as to the nature of the twofold egolessness."
2,76,"Mahamati, what is this twofold egolessness? [It is the egolessness ofpersons and the egolessness of things. What is meant by egolessness ofpersons? It means that] in the collection of the Skandhas, Dhatus, andayatanas there is no ego-substance, nor anything belonging to it; theVijnana is originated by ignorance, deed, and desire, and keeps up itsfunction by grasping objects by means of the sense-organs, such as theeye, etc., and by clinging to them as real; while a world of objects andbodies is manifested owing to the discrimination that takes place in theworld which is of Mind itself, that is, in the alayaVijnana. By reason ofthe habit-energy stored up by false imagination since beginningless time,this world (vishaya) is subject to change and destruction from momentto moment; it is like a river, a seed, a lamp, wind, a cloud; [while theVijnana itself is] like a monkey who is always restless, like a fly who isever in search of unclean things and defiled places, like a fire which isnever satisfied. Again, it is like a water-drawing wheel or a machine, it[i. e., the Vijnana] goes on rolling the wheel of transmigration, carryingvarieties of bodies and forms, resuscitating the dead like the demonVetala, causing the wooden figures to move about as a magician movesthem. Mahamati, a thorough understanding concerning thesephenomena is called comprehending the egolessness of persons.Now, Mahamati, what is meant by the egolessness of things? It is torealize that the Skandhas, Dhatus, and ayatanas are characterised withthe nature of false discrimination. Mahamati, since the Skandhas,Dhatus, and ayatanas are destitute of an ego-substance, being no morethan an aggregation of the Skandhas, and subject to the conditions ofmutual origination which are causally bound up with the string of desireand deed; and since thus there is no creating agent in them, Mahamati,the Skandhas are even destitute of the marks of individuality andgenerality; and the ignorant, owing to their erroneous discrimination,imagine here the multiplicity of phenomena; the wise, however, do not.Recognising, Mahamati, that all things are devoid of the Citta, Manas,ManoVijnana, the five Dharmas, and the [three] Svabhavas, theBodhisattva-Mahasattva will well understand what is meant by theegolessness of things."
2,77,"Again, Mahamati, when the Bodhisattva-Mahasattva has a goodunderstanding as regards the egolessness of things, before long he willattain the first stage [of Bodhisattvahood] when he gets a definitecognition of the imageless. When a definite acquisition is obtainedregarding the aspect of the stages [of Bodhisattvahood], theBodhisattva will experience joy, and, gradually and successively goingup the scale, will reach the ninth stage where his insight is perfected, and[finally the tenth stage known as] Great Dharmamegha. Establishinghimself here, he will be seated in the great jewel palace known as""Great Lotus Throne"" which is in the shape of a lotus and is adornedwith various sorts of jewels and pearls; he will then acquire andcomplete a world of Maya-nature; surrounded by Bodhisattvas of thesame character and anointed like the son of the Cakravarti by the handsof the Buddhas coming from all the Buddha-lands, he will go beyondthe last stage of Bodhisattvahood, attain the noble truth of selfrealization, and become a Tathagata endowed with the perfect freedomof the Dharmakaya, because of his insight into the egolessness of things.This, Mahamati, is what is meant by the egolessness of all things, and inthis you and other Bodhisattva-Mahasattvas should well exerciseyourselves."
2,78,"At that time, Mahamati the Bodhisattva-Mahasattva said this to theBhagavan: Pray teach me about making an assertion and refuting it sothat I and other Bodhisattvas, getting rid of the erroneous views thatmay rise from assertion and refutation, may at once realize supremeenlightenment. Having been enlightened they would keep themselvesaway from the eternalistic assertions as well as from the nihilisticrefutations, and leave your enlightenment eye unrefuted.Then the Bhagavan again, understanding the request of Mahamati theBodhisattva-Mahasattva, recited this verse:135. Assertions and refutations are not to be found in the Mind-only;the ignorant who understand not that the Mind is [seen in] the form ofbody, property, and abode, wander about with assertions and"
2,79,"refutations.At that moment the Bhagavan said this to elucidate the meaning of thisverse: Mahamati, there are four forms of assertion made concerningthings not in existence. What are the four? (1) The assertion aboutindividual marks that are non-existent; (2) the assertion aboutphilosophical views which are non-existent [i. e., not true]; (3) theassertion about a cause which is non-existent; and (4) the assertionabout objects that are non-existent. These, Mahamati, are the fourassertions.Again, Mahamati, what is meant by the refutation? It means notexamining properly, because of ignorance, any assertions based onerrors. This, Mahamati, is what characterises assertion and refutation.Further, Mahamati, what are the characteristics of the assertion madeabout individual marks that have no existence? It concerns the marks ofindividuality and generality in the Skandhas, Dhatus and ayatanas, whichdo not really exist; but taking them for realities and getting attached tothem, a man may affirm that they are just so and not otherwise. This,Mahamati, characterises the assertion of individual marks which arenon-existent.1 This assertion and discrimination, Mahamati, concerningindividual marks that are not existent, rises from one's attachment to thehabit-energy which is amassed, since beginningless time, by varieties oferroneous views issuing from false imagination. This, Mahamati,characterises the assertion of individual marks which are non-existent.Again, Mahamati, by the assertion of philosophical views which arenon-existent [i. e., not true], is meant that in the Skandhas, Dhatus, andayatanas, [some philosophers] assume the existence of an ego, a being,a soul, a living being, a nourisher, or a spirit. This is said, Mahamati, tobe the assertion of some philosophical views which are nonexistent [i.e., not true]."
2,80,"Again, Mahamati, by the assertion of a cause that is nonexistent is"
2,81,"meant that [some philosophers] assume the causeless birth of a firstVijnana, which later comes to have a Maya-like non-existence; that isto say, the originally unborn Vijnana begins to function under theconditions of eye, form, light, and memory. The functioning goes on fora while and then ceases. This, Mahamati, is the assertion of a cause thatis non-existent.Again, Mahamati, the assertion about objects that are not-existent is anassertion arising from the attachment to such non-working existences asspace, cessation, and Nirvana. These, Mahamati, are neither existentnor nonexistent; for all things are devoid of the alternatives of being andnon-being and are to be known, Mahamati, as the horns of a hare, ahorse, or a camel, or like a hair-net. They are discriminated as realitiesby the ignorant who are addicted to assertions and refutations as theirintelligence has not penetrated into the truth that there is nothing butwhat is seen of the Mind itself. It is otherwise with the wise. This,Mahamati, is the characteristic point of the assertion about objectswhich are non-existent. For this reason, Mahamati, one should avoidthe views based on assertion and refutation."
2,82,"Further, Mahamati, the Bodhisattvas who are thoroughly acquaintedwith the nature of the Citta, Manas, and ManoVijnana, of the fiveDharmas, of the [three] Svabhavas, and of the twofold Egolessness, willassume various personalities for the sake of benefitting others, just likethe imagination that evolves from the seat of the relativity knowledge,and again, like the mysterious gem that reflects varieties of colours.Going over to all the Buddha-lands and assemblages, the Bodhisattvaswill listen to the Buddhas, discourse on the nature of all things which arelike a vision, a dream, an illusion, a reflection, and the lunar vision inwater, and which have nothing to do with birth-and-death, eternality,and extinction; the Bodhisattvas, thus facing the Tathagatas, will listen totheir discourses on the truth that does not belong to the Sravaka- andPratyekabuddha-vehicle. They will then attain a hundred thousandSamadhis, indeed, a hundred thousand niyutas of kotis of Samadhis,and by means of these Samadhis they will go around from one country"
2,83,"to another; they will do homage to the Buddhas, be born in all thecelestial mansions, where they will discourse on the Triple Treasure,manifesting Buddha-bodies; and, surrounded by Sravakas andBodhisattvas, they will, in order to free them from the alternatives ofbeing and non-being, instruct them to understand thoroughly what ismeant by an objective world which is nothing but Mind itself and inwhich there are no realities.At that time the Bhagavan recited this verse:136. When those who are born of the Buddha see that the world is nomore than Mind itself, they will obtain a body of transformation, whichhas nothing to do with effect-producing works, but which is endowedwith the powers, psychic faculties, and self-control."
2,84,"At that time again Mahamati the Bodhisattva-Mahasattva made arequest of the Bhagavan. Tell me, Bhagavan, how all things are empty,unborn, non-dual, and have no self-nature, so that I and otherBodhisattva-Mahasattvas might be awakened in the teaching ofemptiness, no-birth, non-duality, and the absence of self-nature, and,quitting the discrimination of being and non-being, quickly realize thehighest enlightenment.Then the Bhagavan said this to Mahamati the Bodhisattva-Mahasattva:Now, Mahamati, listen well and reflect well upon what I tell you.Replied Mahamati the Bodhisattva-Mahasattva, I will indeed,Bhagavan. The Bhagavan said: Emptiness, emptiness, indeed!Mahamati, it is a term whose self-nature is false imagination. Because ofone's attachment to false imagination, Mahamati, we have to talk ofemptiness, no-birth, non-duality, and absence of self-nature. In short,then, Mahamati, there are seven kinds of emptiness: (1) The emptinessof individual marks (lakshana), (2) the emptiness of self-nature(bhavasvabhava), (3) the emptiness of no-work (apracarita), (4) theemptiness of work (pracarita), (5) the emptiness of all things in the"
2,85,"sense that they are unpredicable (nirabhilapya), (6) the emptiness in itshighest sense of ultimate reality realizable only by noble wisdom, and (7)the emptiness of mutuality (itaretara) which is the seventh.Mahamati, what then is the emptiness of individual marks? It is that allthings have no [such distinguishing] marks of individuality and generality.In consideration of mutuality and accumulation, [things are thought to berealities], but when they are further investigated and analysed,Mahamati, they are non-existent, and not predicable with individualityand generality; and because thus no such ideas as self, other, or both,hold good, Mahamati, the individual marks no longer obtain. So it issaid that all things are empty as to their self-marks.Again, Mahamati, what is meant by the emptiness of self-nature?Mahamati, it is that all things in their self-nature are unborn, hence theemptiness of self-nature, and it is therefore said that things are empty intheir self-nature.Again, Mahamati, what is meant by the emptiness of no-work? It is thatthe Skandhas are Nirvana itself and there is no work doing in them fromthe beginning. Therefore, one speaks of the emptiness of no-work.Again, Mahamati, what is meant by the emptiness of work? It is that theSkandhas are devoid of an ego and its belongings, and go onfunctioning when there is a mutual conjunction of cause and action. Thusone speaks of the emptiness of work.Again, Mahamati, what is meant by the emptiness of all things in thesense that they are unpredicable? It is that the nature of the falseimagination is not expressible, hence the emptiness of all things in thesense of their unpredicability. Thus one speaks of the emptiness ofunpredicability.Again, Mahamati, what is meant by the emptiness in its highest sense ofultimate reality realizable by noble wisdom? It is that in the attainment ofan inner realization by means of noble wisdom there is no trace of habit-"
2,86,"energy generated by all the erroneous conceptions [of beginninglesspast]. Thus one speaks of the highest emptiness of ultimate realityrealizable by noble wisdom.Again, Mahamati, what is meant by the emptiness of mutual [nonexistence]? It is this: when a thing is missing here, one speaks of itsbeing empty there. For instance, Mahamati, in the lecture-hall of theMrigarama there are no elephants, no bulls, no sheep, but as to theBhikshus I can say that the hall is not devoid of them; it is empty only asfar as they [i. e. the animals] are concerned. Further, Mahamati, it is notthat the lecture-hall is devoid of its own characteristics, nor that theBhikshu is devoid of this Bhikshuhood, nor that in some other places,too, elephants, bulls, and sheep are not to be found. Mahamati, hereone sees all things in their aspect of individuality and generality, but fromthe point of view of mutuality (itaretara) some things do not existsomewhere. Thus one speaks of the emptiness of mutual [nonexistence].These, Mahamati, are the seven kinds of emptiness of which mutualityranks the lowest of all and is to be put away by you.Again, Mahamati, not that things are not born, but that they are not bornof themselves, except when seen in the state of Samadhi--this is what ismeant by ""all things are unborn."" To have no self-nature is, according tothe deeper sense, to be unborn, Mahamati. That all things are devoid ofself-nature means that there is a constant and uninterrupted becoming, amomentary change from one state of existence to another; seeing this,Mahamati, all things are destitute of self-nature. So one speaks of allthings having no self-nature.Again, Mahamati, what is meant by non-duality? It means that light andshade, long and short, black and white, are relative terms, Mahamati,and not independent of each other; as Nirvana and Samsara are, allthings are not-two. There is no Nirvana except where is Samsara; thereis no Samsara except where is Nirvana; for the condition of existence isnot of mutually-exclusive character.1 Therefore, it is said that all things"
2,87,"are non-dual as are Nirvana and Samsara. For this reason, Mahamati,you should discipline yourself in [the realization of] emptiness, no-birth,non-duality, and no-self-nature.Then at that time the Bhagavan recited this couplet of verses:137. I always preach emptiness which is beyond eternalism and nihilism;Samsara is like a dream and a vision, and karma vanishes not.138. Space, Nirvana, and the two forms of cessation-- thus the ignorantdiscriminate the things which are not effect-producing, but the wisestand above being and non-being.At that time again, the Bhagavan said this to Mahamati the BodhisattvaMahasattva; This [teaching of] emptiness, no-birth, non-duality, and noself-nature is found in all the sutras of all the Buddhas, and this doctrineis recognised in every one of them. However. Mahamati, the sutras arethe teaching in conformity with the dispositions of all beings and deviatefrom the [real] sense, and not the truth-preserving statement. Mahamati,it is like unto the mirage which entices the deer with its treacheroussprings, the springs are not there but the deer are attached, imaginingthem to be real. So with the teachings disclosed in all the sutras, theyare for all beings for the gratification of their own discriminating minds.They are not the truth-preserving statements meant for noble wisdom tograsp. For this reason, Mahamati, be in conformity with the sense andbe not engrossed in the word-teaching."
2,88,"At that time, Mahamati the Bodhisattva-Mahasattva said this to theBhagavan: Now the Bhagavan makes mention of the Tathagata-garbhain the sutras, and verily it is described by you as by nature bright andpure, as primarily unspotted, endowed with the thirty-two marks ofexcellence, hidden in the body of every being like a gem of great value,which is enwrapped in a dirty garment, enveloped in the garment of theSkandhas, Dhatus, and ayatanas, and soiled with the dirt of greed,anger, folly, and false imagination, while it is described by the Bhagavan"
