Chapter,PageStart,Verse,Text
IV,84,17b,"belongs to my son. He already knows about our ﬁnances. “O Bhagavat! At that time the impoverished son, hearing what his father said, became extremely happy at having obtained such an unprecedented experience. Then he thought: I never even considered receiving this; nevertheless, this treasure house has come into my possession, though unsought and unawaited. “O Bhagavat! This very wealthy man is the Tathāgata, and all of us are the heirs of the Buddha. The Tathāgata has always said that we are his children. Because of the triple sufferings, O Bhagavat, we experienced pain, were confused, ignorant and attached to inferior teachings in life after life. Today the Bhagavat has made us think about getting rid of the dung of fallacies regarding the reality of the world and that, in this respect, we diligently strove to attain the nirvana only as one seeking a salary for a single day’s labor. We had already attained it and were extremely happy and satisﬁed with it. We said to ourselves: Because we have made diligent efforts to comprehend the Buddha’s teaching we have attained a great deal."
IV,84,17c,"“But the Bhagavat had formerly perceived that we were attached to desires and content with lowly aspirations. While letting us be so he did not explain that we were to have a portion of the treasure house of the Tathāgata’s wisdom and insight. Through the power of skillful means the Bhagavat has taught the wisdom of the Tathāgatas. Although we had attained nirvana from the Buddha as our salary for one day’s labor, we thought we had attained much and did not seek the Mahayana. “Furthermore, we have manifested and explained the wisdom of the Tathāgata for the bodhisattvas; but we ourselves had no aspirations regarding it. “Why is this? The Buddha, knowing that we were content with lowly aspirations, taught us according to what is appropriate through the power of skillful means. But we did not know that we really were the heirs of the Buddha. “Now we fully know that the Bhagavat is unstinting in regard to the wisdom of the buddhas. What is the reason for this? We have actually been the heirs of the Buddha from long ago, even though we only yearned for the inferior teaching. If we had yearned for the superior teaching, then the Buddha would have taught the teachings of the Mahayana to us. Yet, in this sutra he has taught only the single vehicle. “Now, in the past the Buddha reviled the śrāvakas—those who yearned for the inferior teaching—in the presence of the bodhisattvas, but actually the Buddha inspired them also with the Mahayana. That is why we say that though we originally had no desire to seek the great treasure of the King of the Dharma it has now come to us unsought and unawaited. We have all attained what we should attain as the heirs of the Buddha.” Thereupon Mahākāśyapa, wanting to elaborate on the meaning of this further, spoke these verses: Today we have heard the Buddha’s words, And we are joyful and ecstatic At having attained such an unprecedented experience. The Buddha has said That the śrāvakas will be able to become buddhas. The most magniﬁcent jewels Have been obtained without being sought or awaited. Suppose there were a young and inexperienced child Who left his father And ran away to a distant country. He wandered around for more than ﬁfty years. And his worried father looked for him everywhere. The father, exhausted from searching for him, Remained in a city Where he had a house built And enjoyed the desires of the ﬁve senses. His family built up a vast wealth of much gold, silver, Mother-of-pearl, agate, pearls, lapis lazuli, Elephants, horses, cows, sheep, ﬂoats, carriages, Peasants, servants, and other employees. He earned interest through loans and deposits And had buyers and sellers Throughout all the other regions. He was surrounded by thousands of Myriads of koṭis of people, Who held him in awe; Always loved by the king, And deeply respected by the subjects And powerful families. There were many people Coming and going on different business. He was thus extremely wealthy And very powerful. And yet as he grew older, He increasingly worried about his son. Day and night he thought: Soon I will die. My foolish son has abandoned me For over ﬁfty years. What should I do with the Various goods in my treasure houses? At that time the impoverished son Was going from town to town, From one country to another, Seeking food and clothing. Sometimes he obtained them, And sometimes he did not. He was emaciated from hunger, And his body was covered with scabies. Through his wanderings, He gradually reached the city Where his father lived, And, after having been employed At one place after another, Finally ended up at his father’s home. At that time the wealthy man Was sitting within the gate"
IV,86,18a,"On a lion seat, sheltered by A huge jewel-covered canopy. He was surrounded by his attendants And guarded by his men. Some were counting gold, silver, and jewels; And some were settling the ﬁnances, While others were keeping the accounts. The impoverished son saw his father, Who was extremely wealthy and digniﬁed. He wondered if this man were a king Or someone of equal rank. He became intimidated And wondered why he had gone there. He thought to himself: If I stay here for long I will be harassed and coerced into working. Thinking this, he ran away In search of a poor village Where he could ﬁnd employment. At that time the wealthy man, Who was sitting on the lion seat, Saw his son in the distance. Though he recognized him he told no one, But sent his attendants To pursue him and bring him back. The impoverished son was terriﬁed, Cried out, and collapsed on the ground In confusion, thinking: Since this man has seized me I shall certainly be killed. In vain did I come here In search of food and clothing. The wealthy man knew that his son’s thoughts Were humble and foolish, And that he would not believe what he said, Nor believe that he was his father. Then using skillful means, He dispatched other men With squint eyes, of small stature And little dignity, saying to them: Tell him: We will employ you To sweep dung, at double your wages. When he heard this The impoverished son was overjoyed And returned to sweep dung and clean houses. The wealthy man Constantly watched his son Through the window and thought That his son was foolish And willingly did menial things. Then the wealthy man Put on torn and ﬁlthy clothes, And, holding a dung sweeper, Went out to his son. He approached his son Through this skillful means And said to him: Work hard! I have already increased your wages And given you more balm for your feet, Given you sufficient food And warm, thick mats. He further advised him, saying sternly: You should work diligently. Then he gently added: I will treat you like my son. The wealthy man, being wise, Gradually gave him freedom of the house; And, after twenty years had passed, Let him become involved In the family business. He showed him the gold, Silver, pearls, and crystal, And made him learn about All aspects of the ﬁnances. Yet the impoverished son still lived In a thatched hut outside the gate, And considered himself poor, thinking That these things were not his own. The father knew that his son Was gradually becoming more noble; And, wanting to give him his fortune, He assembled the king, ministers, Kṣatriyas, householders, and relatives. He informed this great assembly, saying:"
IV,89,18b,"This is my son. He left me and stayed away For ﬁfty years. Twenty years have already passed Since I saw my son return here. Long ago I lost my son in a certain city And, after wandering around in search of him, I ended up staying here. I entrust to him all the houses and men That I possess. They are all at his disposal. The son thought: Long ago I was poor and of lowly aspiration. Now at my father’s place I have obtained an immense fortune Of such things as precious jewels and houses. I am overjoyed at having obtained Such an unprecedented experience! The Buddha is also like this. He knew that we yearned for the inferior teaching, So he never taught us That we should become buddhas. Yet he did tell us that we had attained The stage of noncorruption, That we had achieved the inferior vehicle, And that we were the disciples of the śrāvaka vehicle. The Buddha told us to teach that Those who practiced the highest path Would be able to become buddhas. Accepting the Buddha’s teaching, We explained the highest path For the great bodhisattvas, Using various explanations and illustrations, And many ﬁgures of speech. The heirs of the Buddha Heard the teachings from us, Contemplated day and night, And practiced diligently. The buddhas instantly made their predictions saying: You will all be able to become buddhas in the future. We have explained the essence Of the treasured teaching of the buddhas Only for the sake of the bodhisattvas, But did not expound it for ourselves. Just as the impoverished son Who, after approaching his father, Learned of various things Yet did not want them, So, although we explained the treasure house Of the teaching of the buddhas, We never aspired to it. We thought that we had ourselves attained nirvana And considered this enough. We understood only this And did not think there was anything else. Even if we heard About the pure buddha lands And leading and inspiring sentient beings, We never rejoiced in it. Why is this? Because although we thought thus: Every existence is quiescent, Neither produced nor extinguished, Neither large nor small, Incorrupted and unconditioned, We felt no eagerness. For days and nights we neither craved for Nor were attached to the wisdom of the buddhas, Neither did we aspire to it. Furthermore, we ourselves thought, With regard to the Dharma itself, That this was the ultimate goal. After practicing the teaching Of emptiness day and night, We were able to shake off The suffering of the triple world, And, bearing our last bodies, Abided in the nirvana with residue. We were led and inspired by the buddhas So that our attainment of the path was not in vain;"
IV,91,18c,"And we have already been able To pass on the beneﬁts We received from the Buddha. Although we have expounded The teaching of the bodhisattvas To the heirs of the Buddha To seek the buddha path, We never longed for this teaching. Because he knew our minds The Leader turned away from us. At ﬁrst he did not arouse our zeal With the explanation that there exists Real proﬁt in the teaching. Just as the wealthy man, Who, knowing that his son was of lowly aspiration, Broadened his son’s mind using The power of skillful means, And only then entrusted his entire fortune to him. The Buddha is also exactly like this. He has manifested marvelous things But perceiving that we were content With lowly aspirations. He brought control to our minds using The power of skillful means, And only then taught us the great wisdom. Thus today we have obtained An unprecedented experience. The fact that we have now spontaneously obtained What we had not longed for Is just like the impoverished son Who obtained innumerable jewels. O Bhagavat! We have now obtained the path and its fruit And have obtained pure sight Into the incorruptible Dharma. For a long while we have maintained The pure conduct of the Buddha; Today for the ﬁrst time We have obtained the results. For a long time we have practiced The pure path of discipline and integrity Based on the teaching of the Dharma King, And now we have attained The supreme fruit of noncorruption. We are now real śrāvakas And cause everyone to hear the words “buddha path.” We are now real arhats and shall be revered Among the devas, humans, māras, and Brahmas In all the worlds. The Bhagavat, the Great Benefactor, Beneﬁts us with marvelous things By his inspiration and compassion. Who can repay him for it Even in immeasurable koṭis of kalpas! Even if one were to serve him With one’s hands and feet, Bow one’s head in reverence, And give all kinds of offerings, One could not repay him. Even if one were to bear him On one’s head and shoulders Out of deep respect, for as many kalpas As there are sands in the Ganges River, One could not repay him. Or even if one were to honor him With delicious food, Uncountable jeweled garments, Beddings, various medicines, Famed sandalwood from Mount Oxhead, And various precious jewels; Or by building temples, Spreading jeweled clothing and other such things For as many kalpas as there are sands in the Ganges River, One could not repay him. The buddhas have marvelous, immeasurable, Limitless, inconceivable great transcendent powers. They are the Kings of the Dharma. Without depravities and unconditioned, They are patient in all matters, For the sake of the humble ones. They teach the common people, Who are attached to tangible things, According to what is appropriate to them. All of the buddhas having attained Complete mastery over the Dharma, Perceive the various desires and intentions Of sentient beings and explain the teachings With innumerable illustrations, According to what is appropriate to them. Judging from the roots of good merit That sentient beings have planted in former lives, The buddhas perceive who are mature And who are not. Considering this in various ways And understanding the distinctions completely, The buddhas teach the single path, Explaining it as three In accordance with what is appropriate."
V,94,19a,"Herbs Thereupon the Bhagavat addressed Mahākāśyapa and other great disciples saying: “Splendid! Splendid! O Kāśyapa! You have skillfully explained the real merit of the Tathāgata. It is exactly as you have said. The Tathāgata has immeasurable, unlimited, and incalculable merits. Thus even in a period of immeasurable koṭis of kalpas you will never fully be able to explain all of his merits. “O Kāśyapa! You should know that the Tathāgata is the king of all the teaching. What he teaches is never false. He explains all the teaching using his wisdom and skillful means and what he teaches leads everyone to the stage of omniscience. “The Tathāgata perceives the goal of all teachings and knows the underlying mental disposition of all sentient beings, perceiving all with no obstructions. He completely understands all teachings and displays omniscience to all sentient beings. “O Kāśyapa! Suppose in the great manifold cosmos there are mountains, rivers, valleys, and plains where many kinds of grasses, trees, shrubs, and herbs of different names and colors grow. Dense clouds thoroughly cover this great manifold cosmos and rain falls at the same time everywhere, moistening the small, medium, and large roots, stems, branches, and leaves of all the grasses, trees, shrubs, and herbs. “The sizes of all the trees depend on whether their capacities are superior, mediocre, or inferior; and the rain falling from the same cloud makes them grow according to the nature of their various seeds. Flowers blossom in the same place and fruit ripens in the same place moistened by the same rain, yet there are differences among these grasses and trees. “O Kāśyapa! You should know that the Tathāgata is exactly like this. He appears in this world like a great overspreading cloud. His great voice resounds over the devas, humans, and asuras in the world, just as the great cloud thoroughly covers the great manifold cosmos. He declares to the assembly:"
V,96,19b,"I am the Tathāgata, Arhat, Completely Enlightened, Perfect in Knowledge and Conduct, Well-Departed, Knower of the World, Unsurpassed, Tamer of Humans, Teacher of Devas and Humans, Buddha, Bhagavat. I set free those who have not been freed. I enlighten those who have not been enlightened and bring calm to those who have not been calmed. I cause those to obtain nirvana who have not yet obtained it. I am the one who knows the present and future worlds exactly as they are. I am the All-Knower, the All-Seer, the Knower of the Path, the One who discloses the path and explains it. All of you devas, humans, and asuras! Come and listen to my teachings."
V,96,19c,"“At that time innumerable thousands of myriads of koṭis of sentient beings approach the Buddha and listen to his teaching. Then the Tathāgata, perceiving the faculties of sentient beings—whether they are sharp or dull, diligent or idle—explains the teachings according to their capacities in a variety of immeasurable ways, gladdening and beneﬁting them all. “Having heard his teaching, all of these beings are at peace in this world and are born into a good existence in the future. Through this they will receive peace of mind and be able to hear the teaching. Having already heard the teaching they will become free from obstructions and be able to gradually enter the path to the Dharma according to their capacities. “Just like the great cloud that rains upon all the grasses, trees, shrubs, and herbs, whose seeds are watered and which grow according to their capacities, the Tathāgata teaches the Dharma of one aspect and character; that is to say, the character of liberation, dispassion, and cessation which ultimately leads to omniscience. “Those sentient beings who hear, hold, and recite the teachings of the Tathāgata and practice it accordingly will nevertheless not perceive the merit that they have obtained. “Why is this? Only the Tathāgata knows the seed, character, disposition, and capacity of sentient beings. Only he knows what they contemplate, think, and practice; how they contemplate, think, and practice; what teachings they contemplate, think, and practice; and what teaching they obtain through what teaching. Only the Tathāgata exactly perceives and knows without obstructions the various states in which sentient beings reside. “It is just like the grasses, trees, shrubs, and herbs that do not know their own natures, whether they are superior, mediocre, or inferior. Yet the Tathāgata knows the teachings of one aspect and character, the character of liberation, dispassion, cessation, complete nirvana, and eternal tranquility which ultimately leads to emptiness. “The Buddha knows this and perceives the aspirations of sentient beings. For this reason, in order to protect them, he does not immediately teach omniscience. “O Kāśyapa! It is a rare thing that all of you know that the Tathāgata teaches according to your capacities and that you believe and accept it. “Why is this? Because the Dharma taught by all the Buddha Bhagavats, according to what is appropriate to sentient beings, is difficult to understand and difficult to know.” Thereupon the Bhagavat, wanting to elaborate on the meaning of this further, spoke these verses: The King of the Dharma, The destroyer of delusive existence, Appears in the world And keeping in mind the aspirations of sentient beings Teaches the Dharma in various ways According to the wishes of sentient beings. The Tathāgata is greatly distinguished, And his wisdom is profound. He has been silent for a long time And intentionally has not taught the essential in haste. Those who are wise Will be well convinced when they hear it; Those who are not wise will have doubts And remain confused for a long time. That is why, O Kāśyapa, the Tathāgata teaches According to the capacities of sentient beings, And enables them to attain the correct perspective By using various illustrations. O Kāśyapa, you should know That it is as if a great cloud Arises in the world And covers everything. This beneﬁcent cloud contains moisture And bright lightning ﬂashes from it. The sound of its thunder shakes the earth afar And gladdens the people. It conceals the sun And cools the earth. The spreading cloud hangs so low, As if it could be touched. Everywhere, equal, and immeasurable The rain pours down and moistens the earth. Grasses, herbs, large and small trees, All kinds of crops, seedlings, sugarcane, and grapes Growing in the depths of the mountains, In rivers and in precipitous valleys, Are all watered and completely nourished by the rain. The dry earth is moistened everywhere And the herbs and trees grow up thickly. Out of this cloud the same rain Waters these grasses, trees, and shrubs Each according to their capacities. All the trees, small, medium, or large Are able to grow in accordance with their capacities. The luster and colors of the roots, stems, Branches, leaves, and ﬂowers Are all freshened by the same rain. Each of these, although receiving the same moisture, Reaches a greater or lesser size In accordance with their different Dispositions, characteristics, and natures. The Buddha is exactly like this. He appears in the world As a great cloud"
V,98,20a,"Which covers everything universally. Once appearing in this world He illuminates and explains The essence of the teachings For the sake of sentient beings. The Great Seer, the Bhagavat, expounds this To the assembly of all the devas and humans. I am the Tathāgata, the Best of Humans. I appear in the world to nourish sentient beings Just as the great cloud Moistens all the withered trees. I cause everyone to be rid of suffering And attain ease of heart, Worldly happiness, and the joy of nirvana. So, devas and humans, listen carefully! Come, all of you, And look at the Highest One! I am the Bhagavat. No one is equal to me. I appear in this world To bring peace of mind to sentient beings And to teach the Dharma of immortality To the great assembly. This Dharma has a single ﬂavor Of liberation and nirvana. I expound its meaning with the same subtle voice, Always making the Mahayana The subject of my illustrations. I see everywhere, and regard all as equal. I have no feelings of like or dislike; For me there is no this or that. Nor do I have either love or hate. I have no attachments and make no distinctions, And so always teach the Dharma equally to all; And teach the same thing to one person As I teach to everyone else. I always teach the Dharma and nothing else. Going or coming, sitting or standing, I never tire of satisfying the world, Just like the rain that gives nourishment universally. I tirelessly pour down the rain of the Dharma Equally on those who are noble or humble, Superior or inferior, who keep or break the precepts, Who have good or bad conduct, right or wrong views, Sharp or dull faculties. According to their power to understand, All sentient beings who hear my teaching Dwell in various stages. Those living among humans, Devas, noble emperors, Śakra, and Brahma kings Are like the small herbs. Those who know the incorruptible Dharma, Who are able to attain nirvana, Have the six transcendent powers, and Have attained the three sciences. Those who live alone in mountain forests Always practicing meditation, and Who attain the enlightenment of the pratyekabuddhas Are like the medium-sized herbs. Those who seek the stage Of the Bhagavat, thinking that They will become buddhas, And practice persistence and meditation, Are like the large herbs. The heirs of the buddhas Who concentrate on the path of the Buddha, Who always cultivate compassion within themselves And know deﬁnitely without a doubt That they will become buddhas, Are like the small trees. Those who are comfortable with transcendent powers, Who turn the irreversible wheel [of the Dharma] And save innumerable hundreds Of thousands of koṭis of sentient beings, Are the bodhisattvas Who are like the large trees. The Buddha’s equal teaching Is like the rain of one ﬂavor. The sentient beings accept it According to their different capacities, Just as the grasses and trees Each differently absorb the rain. The Buddha reveals the single teaching With illustrations, using skillful means And explains it with various explanations, And yet it is just a drop in the ocean Compared to the Buddha’s wisdom. I pour down the rain of the Dharma, Fulﬁlling the world, And the sentient beings Practice the Dharma of one ﬂavor According to their capacities. Just as the shrubs, herbs, and trees Flourish in accordance with their capacities, Reaching either a greater or lesser size, The teaching of the buddhas Is always of one ﬂavor And fulﬁlls the entire world. Anyone who practices it little by little Obtains the fruit of the path. The śrāvakas and pratyekabuddhas Living in mountain forests, Who, in their last bodies, Hear the Dharma and attain its fruit, Are just like the ﬂourishing herbs."
VI,101,20b,"The bodhisattvas who are ﬁrm in wisdom, Who completely understand the triple world, And seek the highest vehicle, Are just like the ﬂourishing small trees. Those who abide in meditation, Attain transcendent powers, Listen to the teaching regarding the emptiness Of every existence with great joy, And save sentient beings By emitting innumerable rays of light, Are just like the ﬂourishing large trees. In this way, O Kāśyapa, The Dharma that the Buddha teaches Is just like the great cloud that enriches human ﬂowers With the rain of one ﬂavor, So that each attains its fruits. O Kāśyapa! You should know that I reveal the buddha path Using various explanations and illustrations And that this is my skillful means. All of the buddhas are just like this. I will now teach the highest truth for your sake: There are no śrāvakas who attain nirvana. What you practice is the bodhisattva path; And if you practice step by step, You will all become buddhas. Prediction At that time, after the Bhagavat had spoken these verses, he addressed the great assembly, proclaiming: “This disciple of mine, Mahākāśyapa, in the future will be able to meet three hundred myriads of koṭis of Buddha Bhagavats to whom he will pay homage, respect, veneration, and praise; and he will extensively expound the immeasurable great teachings of these buddhas. In his last body he will become a buddha called Raśmiprabhāsa, a Tathāgata, Arhat, Completely Enlightened, Perfect in Knowledge and Conduct, Well-Departed, Knower of the World, Unsurpassed, Tamer of Humans, Teacher of Devas and Humans, Buddha, Bhagavat. “His world will be called Avabhāsaprāpta in the kalpa called Mahāvyūha. The lifespan of this buddha will be twelve intermediate kalpas. The True Dharma will last in the world for twenty intermediate kalpas and the Semblance Dharma will also last for twenty intermediate kalpas. “His world will be adorned and there will be no dirt, shards, thorns, excrement, or other impurities. The earth will be level without irregularities, hollows, or hills. The earth will be made of lapis lazuli with jeweled trees in rows. Golden cords will line the borders of these roads, which will be scattered with precious ﬂowers, and everywhere will be pure. “In his world there will be immeasurable thousands of koṭis of bodhisattvas as well as innumerable śrāvakas. All malice will be far removed; and even though Māra and his minions will be there, they will all protect the Buddha-Dharma.” Thereupon the Bhagavat, wanting to explain the meaning of this further, spoke these verses: I tell you, O monks, That I see with the buddha-eye That Kāśyapa in the future Will become a buddha"
VI,104,20c,"After innumerable kalpas have passed. In the future he will meet and pay homage To three hundred myriads of koṭis of Buddha Bhagavats And practice the pure path of discipline and integrity, Seeking for the wisdom of the buddhas. Having offered respect to the highest and best of humans And having completely grasped the ultimate wisdom, He will become a buddha while in his last body. His land will be pure. The earth will be made of lapis lazuli, And many jeweled trees will be in rows Along roads bordered with golden cords, And those who see it will be gladdened. The air will be always ﬁlled With a pleasant fragrance, And many beautiful ﬂowers Will be strewn about. Various wonderful things Will adorn this earth, Which will be level Without hills or hollows. There will be an incalculable number Of bodhisattvas there Who will have the power of self-control, Be versed in transcendent powers, And who will preserve the sutras of the Mahayana Taught by the buddhas. The multitude of śrāvakas, Bearing their last bodies, free from corruption, Heirs of the Dharma King, Will also be unreckonable; Their number will be impossible to calculate Even with the divine eye. The lifespan of this buddha Will be twelve intermediate kalpas. The True Dharma will last in the world For twenty intermediate kalpas. And the Semblance Dharma will also last For twenty intermediate kalpas. Thus will things be with The Bhagavat Raśmiprabhāsa. At that time Mahāmaudgalyāyana, Subhūti, and Mahākātyāyana were all charged with excitement, and with palms pressed together they attentively gazed at the Bhagavat, never turning their eyes from him. They immediately spoke these verses in unison: O Bhagavat, Great Hero! O King of the Dharma of the Śākyas! Bestow the Buddha’s words upon us Out of your compassion for us. If, knowing the depths of our hearts, You give us your predictions, It will be like cooling our fevers By sprinkling us with the Dharma of immortality. It is as though someone coming From a country suffering from famine Were suddenly to ﬁnd A great king’s feast spread before him, Yet is stricken with doubt And does not venture to eat, Until, being instructed by the king, He dares at last to do so. We are exactly like this. We have been constantly thinking About the faults of the inferior vehicle, And so we had no knowledge of the way To obtain the highest wisdom of the Buddha. Although we hear the Buddha’s voice Saying that we will become buddhas, We still have doubt in our minds"
VI,106,21a,"As if we dare not eat the meal. If we receive the Buddha’s prediction It will immediately put us at ease. The Bhagavat, the Great Hero, Always wants to put the world at ease; And so we entreat you to bestow Upon us your predictions, As though to starving people Waiting for permission to eat. Then the Bhagavat, knowing what lay in the thoughts of the great disciples, addressed the monks saying: “This Subhūti in the future will meet, respect, venerate, praise, and pay homage to three hundred myriads of koṭis of nayutas of buddhas; and he will always practice the pure path of discipline and integrity, and complete the bodhisattva path. In his last body he will become a buddha called Yaśasketu, a Tathāgata, Arhat, Completely Enlightened, Perfect in Knowledge and Conduct, Well-Departed, Knower of the World, Unsurpassed, Tamer of Humans, Teacher of Devas and Humans, Buddha, Bhagavat. “His land will be called Ratnasaṃbhava in the kalpa called Ratnāvabhāsa. The land will be even and the earth will be made of crystal and adorned with jeweled trees. It will be without pits, pebbles, thorns, or the ﬁlth of excrement. The earth will be covered with precious ﬂowers and will be everywhere pure. “The people in this world will all live in wonderful towers with jeweled terraces. The śrāvakas, the disciples there will be innumerable and limitless, beyond calculation and metaphor, and there will also be innumerable thousands of myriads of koṭis of nayutas of bodhisattvas. “The lifespan of this buddha will be twelve intermediate kalpas. The True Dharma will last in the world for twenty intermediate kalpas and the Semblance Dharma will also last for twenty intermediate kalpas. This Buddha will always dwell in the air, teaching the Dharma for the multitude, and he will save incalculable bodhisattvas and śrāvakas.” Thereupon the Bhagavat, wanting to explain the meaning of this further, spoke these verses: O monks! I shall now make something known to you. You should attentively listen To what I have to say. My great disciple Subhūti Will become a buddha called Yaśasketu. He will pay homage to innumerable Myriads of koṭis of buddhas, And, following the Buddha’s practice, He will gradually come to complete the great path. He will attain the thirty-two marks In his last body, And his form will be ﬁne and beautiful Just like a jeweled mountain. His buddha world will be ultimately pure. Of the sentient beings who see it There will be none who do not rejoice. There the Buddha will bring Incalculable sentient beings to enlightenment. In the midst of his Dharma There will be many bodhisattvas With keen faculties, Who turn the irreversible wheel [of the Dharma]. This world will always Be graced with bodhisattvas. There will also be Incalculable numbers of śrāvakas. All of them will have perfected the three sciences, And the six transcendent powers, Will abide in the eight liberations, And have great dignity and virtue. The Buddha will expound the Dharma And reveal immeasurable, Unthinkable, transcendent powers. All the devas and humans,"
VI,107,21b,"As numerous as the sands of the Ganges River, Will listen to the Buddha’s words With palms pressed together. The lifespan of this buddha Will be twelve intermediate kalpas. The True Dharma will last in the world For twenty intermediate kalpas, And the Semblance Dharma will also last For twenty intermediate kalpas."
VI,108,21c,"Thereupon the Bhagavat addressed the monks, saying: “I will now tell you that this Mahākātyāyana in the future will honor, respect, and pay homage to eight thousand koṭis of buddhas with offerings. After the parinirvāṇas of these buddhas, he will erect stupas, each of which will be one thousand yojanas in height and ﬁve hundred yojanas in both width and depth. These stupas will all be constructed of the seven precious treasures—gold, silver, lapis lazuli, mother-of-pearl, agate, pearls, and rubies. He will pay homage to these stupas with many ﬂowers and necklaces, fragrant ointments, scented powders, burning incense, canopies, ﬂags, and banners. “After this he will also pay homage to two myriads of koṭis of buddhas in exactly the same way and, having done so, he will perfect the bodhisattva path and become a buddha called Jāmbūnadābhāsa, a Tathāgata, Arhat, Completely Enlightened, Perfect in Knowledge and Conduct, Well-Departed, Knower of the World, Unsurpassed, Tamer of Humans, Teacher of Devas and Humans, Buddha, Bhagavat. “His land will be level. The earth will be made of crystal and it will be adorned with jeweled trees. The roads will be bordered with golden cords and beautiful ﬂowers will cover the earth. It will be pure everywhere and those who see it will rejoice. “There will be none of the four troubled states of being, namely the hells, hungry ghosts, animals, and asuras. There will be many devas and humans, and immeasurable myriads of koṭis of śrāvakas and bodhisattvas will grace this world. “The lifespan of this buddha will be twelve intermediate kalpas. The True Dharma will last in the world for twenty intermediate kalpas and the Semblance Dharma will also last for twenty intermediate kalpas.” At that time the Bhagavat, wanting to explain the meaning of this further, spoke these verses: O monks, listen carefully! What I shall say Is nothing but the truth. This Kātyāyana Will pay homage to the buddhas With various wonderful offerings. After the parinirvāṇas of those buddhas, He will erect stupas constructed Of the seven precious treasures And offer respect to their relics With ﬂowers and incense. In his last body He will attain the wisdom of the Buddha And will achieve complete enlightenment. His world will be pure And he will save incalculable Myriads of koṭis of sentient beings. He will be venerated in the ten directions. There is nothing that surpasses This Buddha’s ray of light, So this buddha Will be called Jāmbūnadābhāsa. There will be innumerable, uncountable Bodhisattvas and śrāvakas gracing this world, Who have shaken free from every state of being. Thereupon the Bhagavat again addressed the assembly saying: “I will now tell you that this Mahāmaudgalyāyana will respect, venerate, and pay homage to eight thousand buddhas with various offerings; and after the parinirvāṇas of these buddhas, he will erect stupas, each of which will be one thousand yojanas in height and ﬁve hundred yojanas in both depth and width. These stupas will be constructed with the seven precious treasures— gold, silver, lapis lazuli, mother-of-pearl, agate, pearls, and rubies. He will offer them various ﬂowers, necklaces, fragrant ointments, scented powders, burning incense, canopies, ﬂags, and banners. “After this he will pay homage to two hundred myriads of koṭis of buddhas in exactly the same way, and will become a buddha called Tamālapatracandanagandha, a Tathāgata, Arhat, Completely Enlightened, Perfect in Knowledge and Conduct, Well-Departed, Knower of the World, Unsurpassed, Tamer of Humans, Teacher of Devas and Humans, Buddha, Bhagavat. “His world will be called Mano’bhirāma in the kalpa called Ratiprapūrṇa. The land will be level. The earth will be made of crystal, adorned with jeweled trees, and strewn with ﬂowers of pearls. It will be pure everywhere and those who see it will rejoice. There will be many devas and humans, innumerable bodhisattvas, and śrāvakas. “The lifespan of this buddha will be twenty-four intermediate kalpas. The True Dharma will last in this world for forty intermediate kalpas and the Semblance Dharma will also last for forty intermediate kalpas.” Then the Bhagavat, wanting to elaborate on this meaning, spoke these verses: This disciple of mine, Mahāmaudgalyāyana, Having abandoned this body, Will meet eight thousand and then two hundred Myriads of koṭis of Buddha Bhagavats. For the sake of the buddha path He will pay them homage and respect them, And always practice holy conduct (brahmacarya) Of discipline and integrity In the presence of these buddhas. He will uphold the Buddha-Dharma For immeasurable kalpas. After the parinirvāṇas of these buddhas He will erect stupas Constructed with the seven precious treasures On which golden banners Will be long displayed. He will pay homage to These stupas of the buddhas"
